name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Omari Akhmedov,21-6-1,Wolverine,"6'0""",185lbs.,"73""",Orthodox,"Oct12,1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2,2023-09-20 21:50:56.958211
Yoshihiro Akiyama,14-6-0 (2 NC),,"5'10""",170lbs.,"75""",Orthodox,"Jul29,1975",3.1,41%,3.62,57%,2.29,67%,92%,1.0,2023-09-20 21:50:56.958211
Rostem Akman,6-2-0,,"5'10""",170lbs.,"72""",Switch,"Dec19,1991",1.8,25%,3.97,57%,1.0,40%,87%,0.0,2023-09-20 21:50:56.958211
Razak Al-Hassan,13-5-0,,"6'2""",205lbs.,--,Orthodox,"May14,1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0,2023-09-20 21:50:56.958211
Abdul-Kareem Al-Selwady,15-3-0,Pride of Palestine,"5'8""",155lbs.,"69""",Orthodox,"Apr10,1995",4.6,28%,3.6,61%,1.0,16%,0%,0.0,2023-09-20 21:50:56.958211
Mostapha Al-Turk,6-6-0,,"6'2""",245lbs.,"77""",Orthodox,"Jul14,1973",1.36,19%,3.61,53%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Herdem Alacabek,5-1-0,,"6'2""",205lbs.,"75""",Orthodox,"Jun07,1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0,2023-09-20 21:50:56.958211
Javi Alanis,0-4-0,,"5'6""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Alatengheili,16-8-2,The Mongolian Knight,"5'5""",135lbs.,"66""",Orthodox,"Dec14,1991",2.94,33%,4.58,61%,1.78,39%,72%,0.0,2023-09-20 21:50:56.958211
Amir Albazi,17-1-0,The Prince,"5'5""",125lbs.,"68""",Orthodox,"Oct27,1993",2.8,39%,3.07,63%,1.71,33%,40%,0.7,2023-09-20 21:50:56.958211
Brett Albee,3-2-0,,--,225lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
John Albert,6-5-0,Prince,"5'8""",135lbs.,"68""",Orthodox,"Oct13,1986",3.05,49%,2.82,35%,0.0,0%,50%,6.1,2023-09-20 21:50:56.958211
Junior Albini,14-6-0,Baby,"6'3""",264lbs.,"74""",Orthodox,"Mar15,1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,2023-09-20 21:50:56.958211
Wes Albritton,0-1-0,,"5'10""",188lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Aleksandra Albu,3-2-0,Stitch,"5'2""",115lbs.,"63""",Orthodox,"Jul14,1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4,2023-09-20 21:50:56.958211
Israel Albuquerque,0-3-0,,--,185lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Juan Alcain,1-2-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Iuri Alcantara,35-10-0 (1 NC),Marajo,"5'9""",135lbs.,"71""",Southpaw,"Aug04,1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8,2023-09-20 21:50:56.958211
Ildemar Alcantara,21-11-0,Marajo,"6'2""",185lbs.,"78""",Orthodox,"Nov18,1982",1.93,38%,2.63,50%,2.0,68%,81%,0.9,2023-09-20 21:50:56.958211
Alfonso Alcarez,1-3-1,,"5'3""",145lbs.,--,,"Jun10,1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Gilbert Aldana,6-2-0,El Peligro,"6'1""",250lbs.,--,Orthodox,"Aug25,1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0,2023-09-20 21:50:56.958211
Irene Aldana,14-7-0,,"5'9""",135lbs.,"68""",Orthodox,"Mar26,1988",4.86,39%,5.71,59%,0.17,50%,75%,0.3,2023-09-20 21:50:56.958211
Hector Aldana,4-3-0,,"5'11""",170lbs.,"72""",Orthodox,"Aug17,1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0,2023-09-20 21:50:56.958211
Jose Alday,14-6-1,Pochito,"5'7""",135lbs.,"68""",Orthodox,"Sep14,1991",3.13,44%,3.13,58%,0.0,0%,57%,0.0,2023-09-20 21:50:56.958211
Jose Aldo,31-8-0,,"5'7""",135lbs.,"70""",Orthodox,"Sep09,1986",3.57,46%,3.74,60%,0.49,54%,91%,0.1,2023-09-20 21:50:56.958211
JJ Aldrich,12-6-0,,"5'5""",125lbs.,"67""",Southpaw,"Sep29,1992",4.02,46%,4.54,60%,0.77,25%,65%,0.0,2023-09-20 21:50:56.958211
Irina Alekseeva,5-1-0,Russian Ronda,"5'8""",135lbs.,"67""",Orthodox,"Jun27,1990",8.24,40%,4.12,62%,0.0,0%,0%,6.9,2023-09-20 21:50:56.958211
Talita Alencar,4-0-1,,"5'1""",115lbs.,"58""",Orthodox,"Oct17,1990",2.33,38%,5.8,42%,4.0,16%,0%,0.0,2023-09-20 21:50:56.958211
Jim Alers,13-3-0 (1 NC),The Beast,"5'9""",145lbs.,"71""",Orthodox,"Oct14,1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3,2023-09-20 21:50:56.958211
John Alessio,35-17-0 (2 NC),The Natural,"5'10""",155lbs.,"72""",Orthodox,"Jul05,1979",2.1,39%,2.91,54%,1.85,38%,70%,1.2,2023-09-20 21:50:56.958211
Houston Alexander,17-15-1 (2 NC),The Assassin,"6'0""",205lbs.,"72""",Orthodox,"Mar22,1972",3.06,54%,3.2,52%,1.19,57%,33%,0.0,2023-09-20 21:50:56.958211
Kenneth Alexander,7-6-0 (1 NC),The Machine,"5'9""",155lbs.,--,Orthodox,"Sep25,1977",0.88,19%,2.2,66%,4.71,26%,0%,0.0,2023-09-20 21:50:56.958211
Lucas Alexander,8-3-0,The Lion,"5'11""",145lbs.,"73""",Orthodox,"Jul28,1995",5.05,53%,1.76,72%,0.0,0%,66%,0.0,2023-09-20 21:50:56.958211
Marcio Alexandre Junior,17-4-0,Lyoto,"6'0""",185lbs.,"75""",Southpaw,"May05,1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7,2023-09-20 21:50:56.958211
Olaf Alfonso,8-12-0,,"6'2""",170lbs.,--,Orthodox,"Aug06,1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7,2023-09-20 21:50:56.958211
Pablo Alfonso,9-7-0,The Hurricane,"5'8""",145lbs.,--,,"May09,1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Levi Alford,1-7-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bill Algeo,17-7-0,Senor Perfecto,"6'0""",145lbs.,"73""",Switch,"Jun09,1989",5.93,53%,4.32,46%,0.87,42%,55%,0.1,2023-09-20 21:50:56.958211
Royce Alger,3-2-0,,"5'10""",199lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Amir Aliakbari,10-1-0,,"6'3""",250lbs.,--,,"Jun10,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Sultan Aliev,15-3-0,,"5'11""",170lbs.,"74""",Orthodox,"Sep17,1984",1.41,45%,2.2,56%,1.76,38%,100%,0.0,2023-09-20 21:50:56.958211
Nurullo Aliev,9-0-0,Tajik Eagle,"5'10""",155lbs.,"72""",Orthodox,"Dec08,2000",2.5,51%,0.46,59%,3.06,44%,0%,0.0,2023-09-20 21:50:56.958211
Ikram Aliskerov,14-1-0,,"6'0""",185lbs.,"76""",Southpaw,"Dec07,1992",6.25,60%,7.88,40%,3.47,33%,0%,3.5,2023-09-20 21:50:56.958211
Leon Aliu,10-2-0,The Albanian Lion,"6'0""",185lbs.,"74""",Orthodox,"Jul14,1989",6.32,50%,10.11,38%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
John Allan,13-7-0 (1 NC),,"6'1""",205lbs.,"75""",Orthodox,"Feb22,1993",3.56,42%,5.74,52%,1.4,71%,50%,0.8,2023-09-20 21:50:56.958211
George Allen,13-19-2,,"6'2""",205lbs.,--,OpenStance,"Jan13,1967",0.8,38%,3.1,43%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Arnold Allen,19-2-0,Almighty,"5'8""",145lbs.,"70""",Southpaw,"Jan22,1994",3.34,40%,2.86,61%,1.12,50%,76%,0.3,2023-09-20 21:50:56.958211
Brendan Allen,22-5-0,All In,"6'2""",185lbs.,"75""",Orthodox,"Dec28,1995",3.96,53%,3.89,46%,1.22,42%,55%,1.6,2023-09-20 21:50:56.958211
Daniel Allen,5-0-0,,"6'0""",155lbs.,"75""",Southpaw,"Aug10,1992",7.6,51%,5.87,53%,2.0,66%,100%,0.0,2023-09-20 21:50:56.958211
Ben Alloway,18-8-0,Blanco,"5'11""",170lbs.,"76""",Orthodox,"Feb19,1981",1.28,49%,1.9,59%,0.62,50%,26%,0.0,2023-09-20 21:50:56.958211
Assu Almabayev,18-2-0,Zulfikar,"5'4""",125lbs.,"65""",Orthodox,"Jan25,1994",3.18,65%,0.49,77%,3.67,40%,0%,3.7,2023-09-20 21:50:56.958211
Ricardo Almeida,13-5-0,Big Dog,"6'0""",170lbs.,"74""",Orthodox,"Nov29,1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2,2023-09-20 21:50:56.958211
Magno Almeida,10-3-0 (1 NC),,"6'0""",155lbs.,--,,"Jun06,1985",1.67,36%,2.6,41%,0.0,0%,40%,5.0,2023-09-20 21:50:56.958211
Thomas Almeida,22-5-0,Thominhas,"5'7""",145lbs.,"70""",Southpaw,"Jul31,1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0,2023-09-20 21:50:56.958211
Ericka Almeida,7-3-0,,"5'6""",115lbs.,--,Orthodox,"Mar05,1989",1.07,39%,3.33,43%,0.5,33%,37%,0.0,2023-09-20 21:50:56.958211
Estefani Almeida,7-3-0,,"5'4""",125lbs.,--,Orthodox,"Oct17,1988",3.13,37%,6.07,42%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jailton Almeida,19-2-0,Malhadinho,"6'3""",205lbs.,"79""",Orthodox,"Jun26,1991",3.81,64%,0.3,25%,6.4,68%,50%,2.5,2023-09-20 21:50:56.958211
Lucas Almeida,14-2-0,,"5'11""",145lbs.,"71""",Orthodox,"Jan31,1991",5.29,47%,5.29,45%,0.0,0%,40%,0.0,2023-09-20 21:50:56.958211
Cesar Almeida,4-0-0,Cesinha,"6'1""",185lbs.,"74""",Orthodox,"Mar23,1988",4.73,61%,1.87,48%,0.0,0%,70%,0.0,2023-09-20 21:50:56.958211
Mauricio Alonso,13-7-0 (1 NC),,"6'2""",170lbs.,--,,"Feb27,1980",5.74,34%,1.91,67%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Sarah Alpar,9-6-0,Too Sweet,"5'4""",135lbs.,"63""",Southpaw,"Jun01,1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4,2023-09-20 21:50:56.958211
Ali AlQaisi,8-5-0,The Royal Fighter,"5'6""",135lbs.,"68""",Orthodox,"Sep23,1990",2.43,42%,1.97,56%,3.5,29%,60%,1.0,2023-09-20 21:50:56.958211
Rico Altamirano,4-3-0,,"5'10""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Victor Altamirano,12-3-0,El Magnifico,"5'8""",125lbs.,"70""",Switch,"Jan23,1991",5.0,57%,3.99,53%,2.12,25%,63%,0.0,2023-09-20 21:50:56.958211
Mike Altman,1-4-0,,"5'10""",185lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Patricia Alujas,9-3-0,The Angel,"5'4""",115lbs.,"64""",Orthodox,"May08,1996",5.83,31%,9.25,44%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Sean Alvarez,4-3-0,,"6'0""",235lbs.,--,Orthodox,"Jul14,1971",0.89,37%,3.25,47%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Eddie Alvarez,29-6-0 (1 NC),,"5'9""",155lbs.,"69""",Orthodox,"Jan11,1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5,2023-09-20 21:50:56.958211
Jaime Alvarez,6-1-0,,"5'8""",125lbs.,"69""",Orthodox,"Mar08,1988",2.73,40%,4.53,56%,1.0,33%,50%,0.0,2023-09-20 21:50:56.958211
Joel Alvarez,20-3-0,El Fenomeno,"6'3""",155lbs.,"77""",Orthodox,"Mar02,1993",3.65,46%,3.37,50%,0.0,0%,11%,1.3,2023-09-20 21:50:56.958211
Thiago Alves,23-15-0,Pitbull,"5'9""",170lbs.,"70""",Orthodox,"Oct03,1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,2023-09-20 21:50:56.958211
Anthony Alves,1-4-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Amilcar Alves,15-12-0,,"6'0""",170lbs.,--,Southpaw,"Aug08,1988",0.5,46%,2.02,30%,0.0,0%,53%,0.0,2023-09-20 21:50:56.958211
Warlley Alves,15-6-0,,"5'11""",170lbs.,"72""",Orthodox,"Jan04,1991",3.21,47%,4.09,51%,1.37,50%,80%,0.9,2023-09-20 21:50:56.958211
Rafael Alves,20-12-0,The Turn,"5'8""",155lbs.,"68""",Orthodox,"Nov14,1990",1.85,48%,3.3,58%,0.29,25%,44%,1.5,2023-09-20 21:50:56.958211
Sam Alvey,33-18-1 (1 NC),Smile'N,"6'2""",185lbs.,"75""",Southpaw,"May06,1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,2023-09-20 21:50:56.958211
Andre Amado,6-4-1,Dida,"6'0""",154lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0.0,0%,20%,0.0,2023-09-20 21:50:56.958211
Adlan Amagov,14-2-1,Borz,"6'2""",170lbs.,"76""",Orthodox,"Oct30,1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,2023-09-20 21:50:56.958211
Maiara Amanajas dos Santos,7-3-0,,"5'5""",115lbs.,--,Southpaw,"Jul11,1987",5.53,35%,24.47,33%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Rayanne Amanda,11-6-0,,"5'2""",115lbs.,"62""",Orthodox,"Jun08,1995",3.67,31%,6.87,57%,1.0,25%,0%,0.0,2023-09-20 21:50:56.958211
Chris Amarante,2-0-0,,--,185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jimmy Ambriz,17-21-1,The Titan,"6'2""",315lbs.,--,Southpaw,"Jan26,1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8,2023-09-20 21:50:56.958211
JJ Ambrose,28-7-0 (2 NC),,"5'10""",170lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Alen Amedovski,8-4-0,,"5'10""",185lbs.,"74""",Orthodox,"Apr06,1988",0.99,30%,3.85,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Hyder Amil,8-0-0,The Hurricane,"5'9""",145lbs.,"70""",Switch,"May28,1990",1.73,52%,1.47,53%,0.0,0%,78%,1.0,2023-09-20 21:50:56.958211
Makwan Amirkhani,17-9-0,Mr. Finland,"5'10""",145lbs.,"72""",Southpaw,"Nov08,1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1,2023-09-20 21:50:56.958211
Jaqueline Amorim,7-1-0,,"5'3""",115lbs.,"68""",Orthodox,"Jun24,1995",3.42,52%,1.81,62%,1.57,23%,0%,3.7,2023-09-20 21:50:56.958211
Bertrand Amoussou,1-1-0,,"5'8""",190lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Karl Amoussou,27-7-2,The Psycho,"5'11""",185lbs.,--,Orthodox,"Nov21,1985",1.47,34%,2.67,54%,0.0,0%,25%,1.0,2023-09-20 21:50:56.958211
Eryk Anders,15-8-0 (1 NC),Ya Boi,"6'1""",185lbs.,"75""",Southpaw,"Apr21,1987",3.56,47%,4.39,50%,1.54,24%,79%,0.1,2023-09-20 21:50:56.958211
Matt Andersen,14-8-1,,"6'2""",230lbs.,--,Southpaw,"May29,1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Andy Anderson,0-1-0,The Hammer,"5'6""",240lbs.,--,,"Jul16,1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Lowell Anderson,0-1-0,,"5'6""",160lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Corey Anderson,14-5-0,Overtime,"6'3""",205lbs.,"79""",Orthodox,"Sep22,1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,2023-09-20 21:50:56.958211
