name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Nick Catone,10-4-0,The Jersey Devil,"6'0""",185lbs.,"72""",Southpaw,"Sep01,1981",2.11,44%,2.32,63%,3.71,44%,83%,0.5,2023-09-20 21:50:56.958211
Luke Caudillo,17-17-0,Lil' Hulk,"5'7""",155lbs.,--,Orthodox,"Nov30,1980",1.97,28%,5.07,55%,0.44,20%,85%,0.0,2023-09-20 21:50:56.958211
Gesias Cavalcante,21-10-1 (2 NC),JZ,"5'8""",155lbs.,"71""",Orthodox,"Jul06,1983",1.98,35%,3.11,51%,1.25,36%,66%,1.1,2023-09-20 21:50:56.958211
Rafael Cavalcante,12-7-0 (1 NC),Feijao,"6'1""",205lbs.,"74""",Orthodox,"Apr14,1980",2.71,53%,3.62,49%,0.6,40%,63%,0.1,2023-09-20 21:50:56.958211
Jacqueline Cavalcanti,6-1-0,,"5'8""",135lbs.,"70""",Orthodox,"Aug29,1997",8.4,57%,2.6,84%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Magnus Cedenblad,14-5-0,Jycken,"6'5""",185lbs.,"79""",Orthodox,"Apr10,1982",2.38,51%,3.02,40%,2.87,64%,66%,1.0,2023-09-20 21:50:56.958211
Yosdenis Cedeno,10-6-1,Pink Panther,"5'8""",155lbs.,"69""",Orthodox,"Feb12,1985",1.64,29%,1.6,67%,0.0,0%,31%,0.3,2023-09-20 21:50:56.958211
Henry Cejudo,16-3-0,Triple C,"5'4""",135lbs.,"64""",Orthodox,"Feb09,1987",3.93,47%,3.15,60%,2.07,34%,83%,0.2,2023-09-20 21:50:56.958211
Adam Cella,6-8-0,El Naturel,"6'2""",170lbs.,--,,"Jun26,1985",1.91,42%,2.61,51%,3.92,75%,50%,1.3,2023-09-20 21:50:56.958211
Vinicius Cenci,7-2-0,Chambinho,"6'1""",155lbs.,"74""",Orthodox,"Nov24,1995",2.9,48%,2.69,62%,1.61,50%,0%,0.0,2023-09-20 21:50:56.958211
Donald Cerrone,36-17-0 (2 NC),Cowboy,"6'1""",155lbs.,"73""",Orthodox,"Mar29,1983",4.41,46%,4.48,53%,1.16,33%,73%,1.2,2023-09-20 21:50:56.958211
Jared Chaffee,5-2-0,,"5'10""",155lbs.,--,,"Dec15,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Luan Chagas,15-3-1,Tarzan,"6'0""",170lbs.,"75""",Orthodox,"Jun17,1993",4.16,47%,3.19,62%,0.32,12%,85%,0.3,2023-09-20 21:50:56.958211
Edgar Chairez,10-5-0 (1 NC),Puro Chicali,"5'7""",125lbs.,"71""",Orthodox,"Jan27,1996",2.6,48%,4.26,41%,0.0,0%,45%,1.3,2023-09-20 21:50:56.958211
Ansar Chalangov,14-5-0,,"5'9""",170lbs.,--,Orthodox,"Oct30,1979",0.68,66%,1.69,54%,0.0,0%,0%,7.6,2023-09-20 21:50:56.958211
Alex Chambers,5-5-0,Astro Girl,"5'3""",115lbs.,"63""",Southpaw,"Oct25,1978",2.97,54%,5.1,50%,2.31,41%,53%,1.0,2023-09-20 21:50:56.958211
Michael Chandler,23-8-0,Iron,"5'8""",155lbs.,"71""",Orthodox,"Apr24,1986",4.89,46%,4.58,46%,2.17,38%,71%,0.9,2023-09-20 21:50:56.958211
Chelsea Chandler,5-2-0,,"5'8""",145lbs.,"68""",Southpaw,"Nov23,1990",3.12,45%,3.06,42%,0.78,33%,33%,0.0,2023-09-20 21:50:56.958211
Donnie Chappell,0-1-0,,"5'11""",178lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Joe Charles,6-13-0,The Ghetto Man,"6'1""",260lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dan Charles,10-6-1,The Man,"6'2""",228lbs.,--,,"Sep24,1985",2.82,45%,3.51,44%,0.0,0%,31%,0.0,2023-09-20 21:50:56.958211
Morgan Charriere,19-9-1,The Last Pirate,"5'8""",145lbs.,"69""",Orthodox,"Oct26,1995",6.75,53%,2.34,78%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ernest Chavez,10-2-0,EJ,"5'8""",145lbs.,"70""",Orthodox,"Jun27,1983",2.79,40%,3.89,59%,0.89,33%,50%,0.0,2023-09-20 21:50:56.958211
Emilio Chavez,12-9-0,,"5'9""",145lbs.,--,,--,2.73,48%,1.53,54%,3.0,50%,0%,0.0,2023-09-20 21:50:56.958211
Danny Chavez,11-5-1,The Colombian Warrior,"5'8""",145lbs.,"67""",Orthodox,"Mar14,1987",2.86,38%,3.83,50%,1.95,60%,87%,0.0,2023-09-20 21:50:56.958211
Gabriel Checco,10-2-0,Zangief,"6'1""",185lbs.,--,Switch,"Apr03,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Albert Cheng,7-4-0,,"5'11""",170lbs.,--,Orthodox,"Feb07,1985",1.0,41%,2.6,71%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Fabio Cherant,7-4-0,Water Buffalo,"6'1""",205lbs.,"74""",Southpaw,"Nov25,1994",1.35,40%,4.89,38%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ion Cherdivara,1-1-0,,--,205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mark Cherico,11-1-0,The Pride of Bloomfield,"5'7""",145lbs.,"69""",Orthodox,"May12,1986",3.69,34%,7.37,56%,5.03,50%,0%,0.0,2023-09-20 21:50:56.958211
Macy Chiasson,9-3-0,,"5'11""",135lbs.,"72""",Orthodox,"Jul27,1991",3.64,44%,2.61,46%,2.17,34%,64%,0.3,2023-09-20 21:50:56.958211
Michael Chiesa,18-7-0,Maverick,"6'1""",170lbs.,"75""",Southpaw,"Dec07,1987",1.87,40%,1.7,54%,3.33,50%,60%,1.0,2023-09-20 21:50:56.958211
Giga Chikadze,15-3-0,Ninja,"6'0""",145lbs.,"74""",Orthodox,"Aug25,1988",4.08,43%,3.44,62%,0.23,33%,69%,0.2,2023-09-20 21:50:56.958211
Khamzat Chimaev,12-0-0,Borz,"6'2""",185lbs.,"75""",Orthodox,"May01,1994",7.3,59%,3.98,41%,3.98,57%,100%,3.5,2023-09-20 21:50:56.958211
Sako Chivitchian,8-1-0,,"5'11""",155lbs.,--,,"Mar11,1984",2.4,27%,4.8,46%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Mu Bae Choi,12-6-0,,"6'2""",230lbs.,--,Orthodox,"Jun27,1970",1.55,49%,3.65,44%,3.12,75%,60%,1.0,2023-09-20 21:50:56.958211
Hong Man Choi,4-5-0,Techno Goliath,"7'2""",330lbs.,--,Orthodox,"Oct30,1980",1.32,26%,1.46,36%,0.71,100%,84%,0.0,2023-09-20 21:50:56.958211
Dooho Choi,14-4-1,The Korean Superboy,"5'10""",145lbs.,"70""",Orthodox,"Apr10,1991",4.74,53%,4.91,54%,0.29,20%,50%,0.0,2023-09-20 21:50:56.958211
SeungWoo Choi,11-6-0,Sting,"6'0""",145lbs.,"74""",Orthodox,"Nov03,1992",3.48,38%,3.02,47%,0.87,54%,69%,0.0,2023-09-20 21:50:56.958211
SeungGuk Choi,7-3-0,,"5'6""",125lbs.,"64""",Orthodox,"Dec26,1996",2.69,42%,2.69,65%,1.02,27%,74%,0.0,2023-09-20 21:50:56.958211
John Cholish,8-3-0,,"5'11""",155lbs.,"74""",Orthodox,"Dec17,1983",2.65,49%,2.29,73%,1.82,31%,78%,0.4,2023-09-20 21:50:56.958211
Ryo Chonan,22-13-0,Piranah,"5'9""",170lbs.,"70""",Orthodox,"Oct08,1976",2.57,43%,2.25,60%,0.61,41%,39%,0.3,2023-09-20 21:50:56.958211
Katlyn Chookagian,18-5-0,Blonde Fighter,"5'9""",125lbs.,"68""",Orthodox,"Dec28,1988",4.59,34%,4.41,63%,0.27,15%,54%,0.3,2023-09-20 21:50:56.958211
Will Chope,34-13-0,The Kill,"6'4""",145lbs.,--,Switch,"Sep08,1990",4.43,27%,9.93,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Joachim Christensen,14-6-0,,"6'3""",205lbs.,"76""",Orthodox,"Nov07,1978",3.78,41%,3.29,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dan Christison,20-7-0,The Sandman,"6'8""",265lbs.,--,Orthodox,"Apr26,1972",4.23,51%,3.88,54%,0.0,0%,37%,1.1,2023-09-20 21:50:56.958211
Anthony Christodoulou,12-7-0,,"5'9""",155lbs.,--,Orthodox,"Jul30,1987",2.19,26%,5.9,45%,0.0,0%,40%,0.0,2023-09-20 21:50:56.958211
Murad Chunkaiev,8-4-0,,"5'11""",185lbs.,--,Orthodox,--,0.85,16%,3.41,66%,8.53,100%,0%,0.0,2023-09-20 21:50:56.958211
Cameron Church,4-1-0,,"5'11""",155lbs.,"72""",Orthodox,"Sep27,1990",4.0,40%,4.93,50%,0.0,0%,60%,1.0,2023-09-20 21:50:56.958211
Steven Ciaccio,4-4-0,Stryker,"6'0""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mike Ciesnolevicz,19-4-0 (1 NC),,"6'0""",235lbs.,--,Orthodox,"Oct28,1979",0.51,50%,4.62,57%,0.0,0%,20%,5.1,2023-09-20 21:50:56.958211
Hannah Cifers,10-7-0,Shockwave,"5'1""",115lbs.,"62""",Orthodox,"Jun26,1992",4.99,44%,5.39,52%,0.26,100%,64%,0.3,2023-09-20 21:50:56.958211
Branko Cikatic,0-2-0,,"6'1""",215lbs.,--,Orthodox,"Oct03,1954",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Nikolajus Cilkinas,2-6-0,,--,--,--,Orthodox,--,0.0,0%,5.88,16%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Misha Cirkunov,15-9-0,,"6'3""",205lbs.,"77""",Orthodox,"Feb27,1987",3.86,51%,3.06,57%,4.15,39%,76%,1.7,2023-09-20 21:50:56.958211
Johnny Cisneros,9-6-0,The Tattooed Terror,"5'11""",170lbs.,--,,"Feb05,1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Laverne Clark,27-21-1,,"5'11""",170lbs.,--,Orthodox,"Dec02,1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Logan Clark,18-6-0,,"6'2""",185lbs.,--,Orthodox,"Feb16,1985",2.2,54%,1.49,53%,0.31,100%,30%,2.1,2023-09-20 21:50:56.958211
Mychal Clark,10-14-0,,"6'3""",224lbs.,--,Orthodox,--,5.8,56%,2.9,59%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dominic Clark,10-7-0,,"5'10""",155lbs.,--,,"Aug01,1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Heather Clark,7-6-0,Hurricane,"5'6""",115lbs.,"64""",Orthodox,"Sep19,1980",3.69,49%,5.62,50%,0.33,4%,80%,0.3,2023-09-20 21:50:56.958211
Devin Clark,14-8-0,Brown Bear,"6'0""",205lbs.,"75""",Orthodox,"Apr12,1990",2.99,55%,2.95,43%,2.35,33%,60%,0.1,2023-09-20 21:50:56.958211
Jessica-Rose Clark,11-9-0 (1 NC),,"5'5""",135lbs.,"64""",Orthodox,"Nov28,1987",3.73,51%,3.51,58%,1.66,42%,62%,0.3,2023-09-20 21:50:56.958211
John Clarke,1-1-0,,--,170lbs.,--,,"Aug15,1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mitch Clarke,11-5-0,Danger Zone,"5'10""",155lbs.,"73""",Orthodox,"Nov24,1985",2.35,34%,3.27,47%,0.64,15%,50%,0.4,2023-09-20 21:50:56.958211
Rich Clementi,45-23-1,No Love,"5'9""",155lbs.,"72""",Southpaw,"Mar31,1976",1.43,37%,2.29,60%,1.72,42%,25%,1.1,2023-09-20 21:50:56.958211
Chris Clements,12-6-0 (1 NC),The Menace,"5'10""",170lbs.,"70""",Orthodox,"Feb09,1976",3.2,49%,2.37,44%,0.0,0%,32%,0.3,2023-09-20 21:50:56.958211
RJ Clifford,4-3-0,,--,160lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mark Climaco,9-2-0,,"5'4""",125lbs.,"65""",Southpaw,"Nov06,1997",4.13,59%,2.9,57%,3.5,36%,46%,0.0,2023-09-20 21:50:56.958211
Josh Clopton,6-2-1,The Gentleman,"5'6""",145lbs.,--,Orthodox,"Jul11,1981",1.6,64%,2.87,50%,2.0,66%,75%,0.0,2023-09-20 21:50:56.958211
Brian Cobb,20-9-0,,"5'11""",155lbs.,--,Orthodox,--,0.0,0%,3.68,55%,5.81,50%,0%,0.0,2023-09-20 21:50:56.958211
Darryl Cobb,6-8-0,,"5'9""",185lbs.,--,,"Aug04,1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dave Cochran,26-29-1,,"5'6""",155lbs.,--,,"May10,1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Dakota Cochrane,29-12-0,,"5'8""",155lbs.,--,,"May01,1986",2.66,75%,2.66,30%,4.43,33%,0%,0.0,2023-09-20 21:50:56.958211
Marloes Coenen,23-8-0,,"5'9""",145lbs.,"67""",,"Mar31,1981",2.15,51%,1.9,67%,0.82,30%,41%,2.5,2023-09-20 21:50:56.958211
Marc Cofer,7-5-0,,--,185lbs.,--,,"Mar03,1972",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
John Cofer,8-4-0,The Potter,"5'9""",155lbs.,--,Southpaw,"Apr29,1984",2.73,41%,3.43,62%,1.22,50%,64%,0.0,2023-09-20 21:50:56.958211
Chris Coggins,7-10-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Felipe Colares,10-4-0,Cabocao,"5'8""",145lbs.,"69""",Orthodox,"Mar31,1994",2.17,45%,4.65,36%,1.88,24%,43%,0.5,2023-09-20 21:50:56.958211
Wayne Cole,16-25-0,,"6'1""",205lbs.,--,Orthodox,--,0.57,20%,8.33,27%,4.31,25%,0%,4.3,2023-09-20 21:50:56.958211
Devin Cole,20-10-1,,"6'4""",240lbs.,--,Orthodox,"Oct01,1976",3.5,55%,2.14,48%,2.18,42%,66%,0.0,2023-09-20 21:50:56.958211
Coltin Cole,4-5-0,,--,185lbs.,--,,"Apr24,1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ivan Cole,2-3-0,JP,"5'9""",135lbs.,--,,"Nov30,1990",2.68,36%,4.69,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Chandler Cole,10-4-0,The Hammer,"5'10""",264lbs.,"72""",Orthodox,"Jan09,1995",2.45,60%,3.59,26%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mark Coleman,16-10-0,The Hammer,"6'1""",205lbs.,"75""",Orthodox,"Dec20,1964",1.88,52%,2.62,40%,3.89,40%,50%,0.8,2023-09-20 21:50:56.958211
Cortez Coleman,13-8-0,Hollywood,"6'1""",185lbs.,--,,"Jan28,1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Clay Collard,14-7-0 (1 NC),Cassius,"5'11""",145lbs.,"73""",Orthodox,"Mar10,1993",4.22,32%,5.0,50%,2.81,39%,71%,0.5,2023-09-20 21:50:56.958211
Jamie Colleen,4-1-0,,"5'3""",115lbs.,"65""",Orthodox,"Nov02,1985",3.11,61%,5.66,33%,0.52,33%,50%,1.6,2023-09-20 21:50:56.958211
Jake Collier,13-9-0,The Prototype,"6'3""",230lbs.,"78""",Orthodox,"Oct25,1988",5.81,43%,5.01,50%,0.79,33%,67%,0.5,2023-09-20 21:50:56.958211
Christian Colombo,8-3-1,,"6'5""",265lbs.,--,Orthodox,"Jul01,1980",2.76,44%,4.02,42%,0.0,0%,33%,0.0,2023-09-20 21:50:56.958211
Willian Colorado,11-1-0,,"5'10""",135lbs.,"72""",,"Jun21,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Wes Combs,20-6-0,The Soldier,"6'2""",205lbs.,--,Orthodox,"Jun18,1973",2.14,48%,4.73,45%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Carlos Condit,32-14-0,The Natural Born Killer,"6'2""",170lbs.,"75""",Orthodox,"Apr26,1984",3.66,39%,2.67,55%,0.59,46%,38%,1.0,2023-09-20 21:50:56.958211
Chris Condo,0-1-0,,"6'0""",335lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Tristan Connelly,14-8-0,Boondock,"5'10""",145lbs.,"68""",Orthodox,"Dec12,1985",3.31,51%,2.96,50%,0.33,14%,60%,0.3,2023-09-20 21:50:56.958211
Marcos Conrado Jr.,5-1-0,,"6'2""",220lbs.,--,Orthodox,"Mar14,1982",1.6,34%,9.69,35%,1.84,14%,0%,0.0,2023-09-20 21:50:56.958211
Jeremiah Constant,11-8-0 (1 NC),,"6'1""",240lbs.,--,Orthodox,"Jul19,1974",1.5,75%,3.25,43%,0.0,0%,0%,7.5,2023-09-20 21:50:56.958211
Jonathan Contrestano,6-0-0,JT,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bob Cook,5-0-0,Crazy,"5'9""",170lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Mike Cook,13-13-0,,"6'1""",205lbs.,--,Orthodox,--,1.72,49%,2.4,46%,1.03,33%,55%,2.1,2023-09-20 21:50:56.958211
Chad Cook,10-12-0,,"6'2""",205lbs.,--,,"Nov07,1979",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
TJ Cook,13-5-0,,--,205lbs.,--,,"Sep08,1982",2.3,47%,3.18,54%,1.01,50%,0%,0.0,2023-09-20 21:50:56.958211
Dewey Cooper,2-1-0,The Black Cobra,--,205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Brett Cooper,23-12-0,,"6'0""",170lbs.,--,Orthodox,"Jul02,1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bill Cooper,2-1-0,,--,155lbs.,--,,"May05,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bobby Cooper,12-7-0,Super Duper,"6'1""",155lbs.,--,,--,2.87,25%,3.4,59%,0.0,0%,40%,1.0,2023-09-20 21:50:56.958211
Amanda Cooper,3-5-0,ABC,"5'3""",115lbs.,"64""",Switch,"Oct22,1991",3.55,44%,3.2,51%,1.53,38%,28%,1.8,2023-09-20 21:50:56.958211
Kit Cope,6-7-0,Havoc,"6'0""",170lbs.,--,Orthodox,"Mar17,1977",1.18,52%,2.12,35%,0.0,0%,50%,3.5,2023-09-20 21:50:56.958211
Chris Cope,8-4-0,C-Murder,"6'0""",170lbs.,"72""",Orthodox,"Mar05,1983",3.96,26%,4.82,50%,0.0,0%,80%,0.0,2023-09-20 21:50:56.958211
Josh Copeland,12-4-0,Cuddly Bear,"6'1""",265lbs.,--,Orthodox,"Oct20,1982",1.03,31%,3.01,55%,0.0,0%,57%,0.0,2023-09-20 21:50:56.958211
Michael Cora,4-1-0,Kookie Monster,"6'1""",170lbs.,"77""",Southpaw,"Aug24,1989",0.8,28%,0.13,66%,0.0,0%,25%,0.0,2023-09-20 21:50:56.958211
Akira Corassani,12-6-0 (1 NC),,"5'8""",145lbs.,"68""",Orthodox,"Aug27,1982",3.25,45%,4.91,50%,0.7,28%,86%,0.0,2023-09-20 21:50:56.958211
Muhsin Corbbrey,17-9-0,,"5'10""",155lbs.,--,Orthodox,"May18,1978",2.02,34%,5.41,53%,0.0,0%,80%,0.4,2023-09-20 21:50:56.958211
Daniel Cormier,22-3-0 (1 NC),DC,"5'11""",235lbs.,"72""",Orthodox,"Mar20,1979",4.25,52%,2.92,54%,1.83,44%,80%,0.4,2023-09-20 21:50:56.958211
Nora Cornolle,7-1-0,,"5'7""",135lbs.,"67""",Orthodox,"Dec06,1989",2.67,51%,1.2,57%,0.0,0%,37%,0.0,2023-09-20 21:50:56.958211
Clint Coronel,2-5-0,,--,155lbs.,--,,--,4.93,32%,5.6,66%,0.0,0%,66%,0.0,2023-09-20 21:50:56.958211
Henry Corrales,13-3-0,,"5'9""",145lbs.,--,,--,4.12,41%,5.84,55%,0.0,0%,69%,0.0,2023-09-20 21:50:56.958211
Bethe Correia,11-6-1,Pitbull,"5'5""",135lbs.,"64""",Orthodox,"Jun22,1983",4.37,43%,4.93,56%,0.39,18%,85%,0.0,2023-09-20 21:50:56.958211
Wesley Correira,20-16-0,Cabbage,"6'3""",260lbs.,--,Orthodox,"Nov11,1978",2.6,36%,8.8,40%,0.0,0%,90%,0.0,2023-09-20 21:50:56.958211
Waldo Cortes-Acosta,10-1-0,Salsa Boy,"6'4""",260lbs.,"78""",Orthodox,"Oct03,1991",6.97,50%,4.06,52%,0.0,0%,60%,0.0,2023-09-20 21:50:56.958211
Tracy Cortez,11-1-0,,"5'5""",125lbs.,"65""",Orthodox,"Dec10,1993",4.11,53%,2.79,60%,2.33,46%,75%,0.3,2023-09-20 21:50:56.958211
Reyes Cortez Jr.,7-3-0,,"5'7""",135lbs.,"68""",Orthodox,"Jul31,1992",4.1,45%,7.43,52%,1.5,11%,100%,0.0,2023-09-20 21:50:56.958211
Chad Corvin,5-0-0,The Brave Warrior,"6'5""",255lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Louis Cosce,7-2-0,,"5'9""",170lbs.,"71""",Orthodox,"Aug27,1995",4.31,45%,5.35,47%,1.04,20%,50%,0.5,2023-09-20 21:50:56.958211
Orion Cosce,8-2-0,Galaxy,"5'11""",170lbs.,"71""",Switch,"Jul15,1994",2.77,53%,4.02,44%,1.92,40%,61%,0.0,2023-09-20 21:50:56.958211
Miguel Cosio,1-13-0,,"6'4""",205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jadson Costa,22-8-0 (1 NC),,"5'7""",155lbs.,--,Orthodox,--,0.2,50%,3.05,50%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Guilherme Costa,7-1-0,The Prodigy,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Paulo Costa,14-2-0,The Eraser,"6'1""",185lbs.,"72""",Orthodox,"Apr21,1991",6.5,60%,6.38,47%,0.53,75%,79%,0.0,2023-09-20 21:50:56.958211
Randy Costa,6-4-0,The Zohan,"5'9""",135lbs.,"73""",Switch,"Jul06,1994",6.53,46%,7.58,58%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Alessandro Costa,13-3-0,Nono,"5'4""",125lbs.,"67""",Orthodox,"Jan28,1996",3.82,43%,3.01,63%,0.0,0%,91%,0.0,2023-09-20 21:50:56.958211
Melquizael Costa,20-6-0,Melk Cauthy,"5'10""",145lbs.,"71""",Southpaw,"Sep14,1996",5.11,45%,2.53,64%,1.87,37%,42%,0.6,2023-09-20 21:50:56.958211
Davi Costa,14-3-0,O Black,--,125lbs.,--,,"Dec10,1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Oscar Cota,11-3-0 (1 NC),Elevation,"6'0""",230lbs.,"72""",Orthodox,"Oct15,1984",0.33,41%,2.47,41%,0.0,0%,60%,1.0,2023-09-20 21:50:56.958211
Patrick Cote,23-11-0,The Predator,"5'11""",170lbs.,"75""",Orthodox,"Feb29,1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,2023-09-20 21:50:56.958211
JC Cottrell,17-5-0,,"5'9""",155lbs.,--,Orthodox,"Nov04,1989",0.79,25%,2.75,45%,0.79,100%,50%,0.0,2023-09-20 21:50:56.958211
JR Coughran,4-1-0,Bam Bam,"5'6""",145lbs.,--,Orthodox,"May17,1994",12.29,57%,6.8,45%,0.0,0%,75%,0.0,2023-09-20 21:50:56.958211
Rashad Coulter,9-4-0,Daywalker,"5'11""",205lbs.,"76""",Orthodox,"Nov27,1981",4.82,56%,6.68,50%,0.0,0%,62%,0.0,2023-09-20 21:50:56.958211
Dave Courchaine,20-7-0,,"5'8""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Randy Couture,19-11-0,The Natural,"6'1""",205lbs.,"75""",Orthodox,"Jun22,1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5,2023-09-20 21:50:56.958211
Kim Couture,3-8-0,Sugar Free,"5'8""",135lbs.,--,Orthodox,"Dec18,1975",12.12,80%,2.31,69%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ryan Couture,11-5-0,,"5'10""",155lbs.,"73""",Orthodox,"Aug27,1982",3.54,45%,2.87,54%,1.55,29%,46%,1.3,2023-09-20 21:50:56.958211
Nikk Covert,3-4-0,The Brick,"5'8""",185lbs.,--,,"Aug04,1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Colby Covington,17-3-0,Chaos,"5'11""",170lbs.,"72""",Orthodox,"Feb22,1988",4.1,39%,3.05,55%,4.05,45%,72%,0.2,2023-09-20 21:50:56.958211
Hailey Cowan,7-3-0,All Hail,"5'8""",135lbs.,"67""",Southpaw,"Feb12,1992",2.97,42%,3.17,34%,1.5,33%,80%,0.0,2023-09-20 21:50:56.958211
Jeff Cox,10-7-0,The Grinder,"5'10""",155lbs.,--,Orthodox,"Aug02,1968",0.56,25%,1.69,33%,4.23,50%,80%,0.0,2023-09-20 21:50:56.958211
Nathan Coy,15-7-0,Soulforce,"5'10""",170lbs.,"69""",Southpaw,"Jul24,1978",3.88,52%,2.4,61%,3.17,47%,50%,0.0,2023-09-20 21:50:56.958211
Andrew Craig,9-4-0,Highlight,"6'1""",170lbs.,"76""",Orthodox,"Jan15,1986",2.39,40%,3.01,50%,0.53,37%,72%,0.0,2023-09-20 21:50:56.958211
Paul Craig,17-6-1,Bearjew,"6'3""",185lbs.,"76""",Orthodox,"Nov27,1987",2.57,46%,2.85,46%,1.91,23%,42%,1.7,2023-09-20 21:50:56.958211
Dan Cramer,11-4-0,,"6'2""",170lbs.,--,Orthodox,"Oct31,1985",0.97,30%,2.1,31%,0.0,0%,66%,0.5,2023-09-20 21:50:56.958211
Alberto Crane,15-5-0,,"5'5""",155lbs.,--,Orthodox,"Jul14,1976",0.43,25%,2.61,57%,0.0,0%,50%,4.0,2023-09-20 21:50:56.958211
Tim Credeur,12-4-0,,"6'3""",185lbs.,"75""",Orthodox,"Jul09,1977",3.59,30%,3.13,57%,0.41,100%,50%,3.3,2023-09-20 21:50:56.958211
Paul Creighton,3-1-0,,"5'6""",155lbs.,--,Southpaw,"Jun04,1970",0.72,75%,4.65,30%,5.37,37%,0%,0.0,2023-09-20 21:50:56.958211
Helena Crevar,0-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
