event_date,fighter1,fighter2,outcome,weight_class,fighter1_curr_height,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter1_age,fighter2_curr_height,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,fighter2_age
2023-09-09,Kiefer Crosbie,Kevin Jousset,fighter2,Welterweight,180.34,177.8,Switch,8.1,0.66,6.02,0.5,0.0,0.0,0.0,0.0,33.0,187.96,190.5,Orthodox,6.02,0.5,8.1,0.33,3.11,1.0,0.0,3.1,30.0
2023-09-02,Ciryl Gane,Serghei Spivac,fighter1,Heavyweight,193.04,205.74,Orthodox,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5,33.0,190.5,198.12,Orthodox,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,28.0
2023-09-02,Rose Namajunas,Manon Fiorot,fighter2,Women's Flyweight,165.1,165.1,Orthodox,3.68,0.4,3.53,0.62,1.49,0.48,0.6,0.6,31.0,170.18,165.1,Orthodox,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0.0,33.0
2023-09-02,Benoit Saint Denis,Thiago Moises,fighter1,Lightweight,180.34,185.42000000000002,Southpaw,5.59,0.52,5.27,0.44,4.72,0.36,0.8,1.4,28.0,175.26,177.8,Orthodox,2.47,0.39,4.4,0.54,1.53,0.4,0.56,1.3,28.0
2023-09-02,Volkan Oezdemir,Bogdan Guskov,fighter1,Light Heavyweight,187.96,190.5,Orthodox,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,34.0,190.5,193.04,Orthodox,2.12,0.32,6.9,0.43,0.0,0.0,0.0,0.0,31.0
2023-09-02,William Gomis,Yanis Ghemmouri,fighter1,Featherweight,182.88,185.42000000000002,Southpaw,2.62,0.46,1.49,0.75,1.06,0.6,0.81,0.7,26.0,175.26,175.26,Orthodox,2.27,0.38,4.22,0.4,0.0,0.0,0.0,0.0,28.0
2023-09-02,Morgan Charriere,Manolo Zecchini,fighter1,Featherweight,172.72,175.26,Orthodox,6.75,0.53,2.34,0.78,0.0,0.0,0.0,0.0,28.0,172.72,172.72,Orthodox,2.34,0.21,6.75,0.46,0.0,0.0,0.0,0.0,27.0
2023-09-02,Caolan Loughran,Taylor Lapilus,fighter2,Bantamweight,167.64000000000001,172.72,Orthodox,3.2,0.36,5.6,0.48,2.0,0.18,0.0,0.0,27.0,167.64000000000001,185.42000000000002,Southpaw,4.18,0.47,2.27,0.62,0.45,0.4,0.81,0.5,31.0
2023-09-02,Rhys McKee,Ange Loosa,fighter2,Welterweight,187.96,198.12,Orthodox,6.06,0.48,9.47,0.44,0.0,0.0,0.33,0.0,28.0,177.8,187.96,Orthodox,6.32,0.46,6.88,0.51,2.25,0.45,1.0,0.2,30.0
2023-09-02,Joselyne Edwards,Nora Cornolle,fighter2,Women's Bantamweight,172.72,177.8,Orthodox,4.71,0.52,3.36,0.5,1.0,0.33,0.64,0.3,28.0,170.18,170.18,Orthodox,2.67,0.51,1.2,0.57,0.0,0.0,0.37,0.0,34.0
2023-09-02,Kleydson Rodrigues,Farid Basharat,fighter2,Bantamweight,165.1,170.18,Orthodox,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8,28.0,172.72,180.34,Orthodox,5.2,0.63,2.34,0.58,3.5,0.53,0.83,0.4,26.0
2023-09-02,Jacqueline Cavalcanti,Zarah Fairn,fighter1,Catch Weight,172.72,177.8,Orthodox,8.4,0.57,2.6,0.84,0.0,0.0,1.0,0.0,26.0,172.72,182.88,Orthodox,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,40.0
2023-08-26,Chan Sung Jung,Max Holloway,fighter2,Featherweight,170.18,182.88,Orthodox,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,36.0,180.34,175.26,Orthodox,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,32.0
2023-08-26,Anthony Smith,Ryan Spann,fighter1,Light Heavyweight,193.04,193.04,Orthodox,3.16,0.48,4.45,0.46,0.52,0.28,0.48,0.7,35.0,195.58,200.66,Orthodox,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5,32.0
2023-08-26,Giga Chikadze,Alex Caceres,fighter1,Featherweight,182.88,187.96,Orthodox,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2,35.0,177.8,185.42000000000002,Southpaw,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,35.0
2023-08-26,Fernie Garcia,Rinya Nakamura,fighter2,Bantamweight,170.18,170.18,Orthodox,1.8,0.34,2.69,0.5,0.32,0.5,0.47,0.6,31.0,170.18,172.72,Southpaw,4.23,0.54,1.78,0.7,4.23,0.85,1.0,2.8,28.0
2023-08-26,Erin Blanchfield,Taila Santos,fighter1,Women's Flyweight,162.56,167.64000000000001,Orthodox,5.58,0.52,3.32,0.62,2.86,0.36,0.83,1.2,24.0,167.64000000000001,172.72,Orthodox,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,30.0
2023-08-26,Parker Porter,Junior Tafa,fighter2,Heavyweight,182.88,190.5,Orthodox,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,38.0,190.5,190.5,Orthodox,1.83,0.4,0.55,0.76,0.0,0.0,0.84,0.0,27.0
2023-08-26,Waldo Cortes-Acosta,Lukasz Brzeski,fighter1,Heavyweight,193.04,198.12,Orthodox,6.97,0.5,4.06,0.52,0.0,0.0,0.6,0.0,32.0,193.04,198.12,Orthodox,5.08,0.48,3.46,0.57,0.64,0.5,0.42,0.6,31.0
2023-08-26,Toshiomi Kazama,Garrett Armfield,fighter2,Bantamweight,170.18,175.26,Orthodox,2.22,0.54,3.94,0.45,1.51,0.13,0.66,0.0,26.0,167.64000000000001,177.8,Orthodox,5.29,0.44,3.52,0.57,0.0,0.0,0.75,0.0,27.0
2023-08-26,Michal Oleksiejczuk,Chidi Njokuani,fighter1,Middleweight,182.88,187.96,Southpaw,5.12,0.5,4.17,0.62,0.76,0.44,0.48,0.0,28.0,190.5,203.2,Orthodox,4.04,0.6,3.19,0.53,0.0,0.0,0.67,0.3,35.0
2023-08-26,Rolando Bedoya,Song Kenan,fighter2,Welterweight,180.34,187.96,Orthodox,8.7,0.55,6.83,0.52,0.0,0.0,0.0,0.0,26.0,182.88,180.34,Orthodox,4.4,0.47,5.86,0.52,0.41,0.66,0.62,0.0,33.0
2023-08-26,Yusaku Kinoshita,Billy Goff,fighter2,Welterweight,182.88,180.34,Southpaw,4.65,0.5,5.12,0.51,0.0,0.0,0.5,0.0,23.0,177.8,182.88,Switch,10.22,0.46,4.3,0.64,4.04,0.4,1.0,0.0,25.0
2023-08-26,Liang Na,JJ Aldrich,fighter2,Women's Flyweight,165.1,170.18,Orthodox,1.93,0.4,4.48,0.27,5.1,0.6,0.0,0.8,27.0,165.1,170.18,Southpaw,4.02,0.46,4.54,0.6,0.77,0.25,0.65,0.0,31.0
2023-08-26,SeungWoo Choi,Jarno Errens,fighter1,Featherweight,182.88,187.96,Orthodox,3.48,0.38,3.02,0.47,0.87,0.54,0.69,0.0,31.0,180.34,185.42000000000002,Orthodox,1.67,0.38,2.93,0.52,0.0,0.0,0.33,0.5,29.0
