event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Featherweight,Giga Chikadze,Alex Caceres,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Bantamweight,Rinya Nakamura,Fernie Garcia,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Women's Flyweight,Erin Blanchfield,Taila Santos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Heavyweight,Junior Tafa,Parker Porter,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Heavyweight,Waldo Cortes-Acosta,Lukasz Brzeski,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Bantamweight,Garrett Armfield,Toshiomi Kazama,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Middleweight,Michal Oleksiejczuk,Chidi Njokuani,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Welterweight,Song Kenan,Rolando Bedoya,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Welterweight,Billy Goff,Yusaku Kinoshita,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Women's Flyweight,JJ Aldrich,Liang Na,KO/TKO              Elbows,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Featherweight,SeungWoo Choi,Jarno Errens,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Bantamweight,Sean O'Malley,Aljamain Sterling,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Women's Strawweight,Zhang Weili,Amanda Lemos,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Welterweight,Ian Garry,Neil Magny,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Bantamweight,Mario Bautista,Da'Mon Blackshear,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Bantamweight,Marlon Vera,Pedro Munhoz,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Middleweight,Brad Tavares,Chris Weidman,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Middleweight,Gregory Rodrigues,Denis Tiuliulin,KO/TKO              Elbows,1,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Lightweight,Kurt Holobaugh,Austin Hubbard,SUB              Triangle Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Bantamweight,Brad Katona,Cody Gibson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Middleweight,Andre Petroski,Gerald Meerschaert,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Women's Flyweight,Natalia Silva,Andrea Lee,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,2023-08-19,Women's Flyweight,Karine Silva,Maryna Moroz,SUB              Guillotine Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Welterweight,Vicente Luque,Rafael Dos Anjos,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Featherweight,Cub Swanson,Hakeem Dawodu,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Light Heavyweight,Khalil Rountree Jr.,Chris Daukaus,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Women's Strawweight,Iasmin Lucindo,Polyana Viana,SUB              Arm Triangle,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Middleweight,AJ Dobson,Tafon Nchukwi,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Middleweight,Josh Fremd,Jamie Pickett,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Bantamweight,Marcus McGhee,JP Buys,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Lightweight,Terrance McKinney,Mike Breeden,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Featherweight,Isaac Dulgarian,Francis Marshall,KO/TKO              Elbows,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Heavyweight,Martin Buday,Josh Parisian,SUB              Kimura,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Women's Strawweight,Jaqueline Amorim,Montserrat Conejo Ruiz,KO/TKO              Punches,3,fighter1,2023-09-21 02:02:55.178363
