event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Lightweight,Mark Madsen,Danilo Belluardo,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Gilbert Burns,Gunnar Nelson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Light Heavyweight,Ion Cutelaba,Khalil Rountree Jr.,KO/TKO              Elbows,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Light Heavyweight,Ovince Saint Preux,Michal Oleksiejczuk,SUB              Von Flue Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Nicolas Dalby,Alex Oliveira,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Middleweight,John Phillips,Alen Amedovski,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Middleweight,Makhmud Muradov,Alessio Di Chirico,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Ismail Naurdiev,Siyar Bahadurzada,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Featherweight,Giga Chikadze,Brandon Davis,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Women's Bantamweight,Lina Lansberg,Macy Chiasson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Lightweight,Marc Diakiese,Lando Vannata,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Bantamweight,Jack Shore,Nohelin Hernandez,SUB              Rear Naked Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,Yair Rodriguez,Jeremy Stephens,CNC,1,No contest,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Strawweight,Carla Esparza,Alexa Grasso,M-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Flyweight,Brandon Moreno,Askar Askarov,S-DEC,3,Draw,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Bantamweight,Irene Aldana,Vanessa Melo,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,Steven Peterson,Martin Bravo,KO/TKO              Spinning Back Fist,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Bantamweight,Jose Quinonez,Carlos Huachin,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,Kyle Nelson,Marco Polo Reyes,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Strawweight,Angela Hill,Ariane Carnelossi,KO/TKO              Elbow,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Flyweight,Sergio Pettis,Tyson Nam,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Light Heavyweight,Paul Craig,Vinicius Moreira,SUB              Rear Naked Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Bantamweight,Bethe Correia,Sijara Eubanks,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Lightweight,Claudio Puelles,Marcos Mariano,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Lightweight,Justin Gaethje,Donald Cerrone,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Light Heavyweight,Glover Teixeira,Nikita Krylov,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Heavyweight,Todd Duffee,Jeff Hughes,CNC,1,No contest,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Welterweight,Tristan Connelly,Michel Pereira,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Middleweight,Uriah Hall,Antonio Carlos Junior,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Light Heavyweight,Misha Cirkunov,Jimmy Crute,SUB              Peruvian Necktie,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Heavyweight,Augusto Sakai,Marcin Tybura,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Bantamweight,Miles Johns,Cole Smith,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Bantamweight,Hunter Azure,Brad Katona,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Featherweight,Chas Skelly,Jordan Griffin,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Bantamweight,Louis Smolka,Ryan MacDonald,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Lightweight,Austin Hubbard,Kyle Prepolec,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Khabib Nurmagomedov,Dustin Poirier,SUB              Rear Naked Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Paul Felder,Edson Barboza,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Islam Makhachev,Davi Ramos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Heavyweight,Curtis Blaydes,Shamil Abdurakhimov,KO/TKO              Elbow,2,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Diego Ferreira,Mairbek Taisumov,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Women's Flyweight,Joanne Wood,Andrea Lee,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Featherweight,Zubaira Tukhugov,Lerone Murphy,S-DEC,3,Draw,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Women's Bantamweight,Sarah Moras,Liana Jojua,KO/TKO              Elbows,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Ottman Azaitar,Teemu Packalen,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Welterweight,Belal Muhammad,Takashi Sato,SUB              Rear Naked Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Welterweight,Muslim Salikhov,Nordine Taleb,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Middleweight,Omari Akhmedov,Zak Cummings,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 242: Khabib vs. Poirier,2019-09-07,Lightweight,Don Madge,Fares Ziam,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Women's Strawweight,Zhang Weili,Jessica Andrade,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Welterweight,Li Jingliang,Elizeu Zaleski dos Santos,KO/TKO              Punches,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Flyweight,Kai Kara-France,Mark De La Rosa,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Welterweight,Song Kenan,Derrick Krantz,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Women's Flyweight,Mizuki, Wu Yanan,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Middleweight,Anthony Hernandez,JunYong Park,SUB              Anaconda Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Bantamweight,Sumudaerji,Andre Soukhamthath,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Light Heavyweight,Da Woon Jung,Khadis Ibragimov,SUB              Guillotine Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Lightweight,Damir Ismagulov,Thiago Moises,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Bantamweight,Alatengheili,Batgerel Danaa,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Andrade vs. Zhang,2019-08-31,Women's Bantamweight,Karol Rosa,Lara Procopio,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Heavyweight,Stipe Miocic,Daniel Cormier,KO/TKO              Punches,4,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Welterweight,Nate Diaz,Anthony Pettis,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Middleweight,Paulo Costa,Yoel Romero,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Featherweight,Sodiq Yusuff,Gabriel Benitez,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Middleweight,Derek Brunson,Ian Heinisch,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Lightweight,Khama Worthy,Devonte Smith,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Bantamweight,Cory Sandhagen,Raphael Assuncao,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Lightweight,Drakkar Klose,Christos Giagos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Catch Weight,Casey Kenney,Manny Bermudez,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Women's Strawweight,Hannah Cifers,Jodie Esquibel,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Bantamweight,Kyung Ho Kang,Brandon Davis,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 241: Cormier vs. Miocic 2,2019-08-17,Women's Flyweight,Sabina Mazo,Shana Dobson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Women's Flyweight,Valentina Shevchenko,Liz Carmouche,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Welterweight,Vicente Luque,Mike Perry,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Featherweight,Eduardo Garagorri,Humberto Bandenay,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Light Heavyweight,Volkan Oezdemir,Ilir Latifi,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Middleweight,Rodolfo Vieira,Oskar Piechota,SUB              Arm Triangle,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Featherweight,Enrique Barzola,Bobby Moffett,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Welterweight,Gilbert Burns,Aleksei Kunchenko,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Heavyweight,Ciryl Gane,Raphael Pessoa,SUB              Arm Triangle,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Women's Strawweight,Marina Rodriguez,Tecia Torres,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Flyweight,Rogerio Bontorin,Raulian Paiva,KO/TKO,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Bantamweight,Chris Gutierrez,Geraldo de Freitas,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Lightweight,Alex Da Silva,Kazula Vargas,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Women's Flyweight,Veronica Hardy,Polyana Viana,SUB              Armbar,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Welterweight,Colby Covington,Robbie Lawler,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Lightweight,Jim Miller,Clay Guida,SUB              Guillotine Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Lightweight,Nasrat Haqparast,Joaquim Silva,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Middleweight,Gerald Meerschaert,Trevin Giles,SUB              Guillotine Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Lightweight,Scott Holtzman,Dong Hyun Ma,KO/TKO,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Light Heavyweight,Kennedy Nzechukwu,Darko Stosic,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Welterweight,Mickey Gall,Salim Touahri,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Women's Flyweight,Antonina Shevchenko,Lucie Pudilova,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Flyweight,Matt Schnell,Jordan Espinosa,SUB              Triangle Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Women's Flyweight,Lauren Murphy,Mara Romero Borella,KO/TKO              Knee,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Welterweight,Claudio Silva,Cole Williams,SUB              Neck Crank,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Covington vs. Lawler,2019-08-03,Women's Flyweight,Miranda Granger,Hannah Goldy,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Featherweight,Max Holloway,Frankie Edgar,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Women's Featherweight,Cristiane Justino,Felicia Spencer,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Welterweight,Geoff Neal,Niko Price,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Lightweight,Arman Tsarukyan,Olivier Aubin-Mercier,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Middleweight,Krzysztof Jotko,Marc-Andre Barriault,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Women's Flyweight,Viviane Araujo,Alexis Davis,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Featherweight,Hakeem Dawodu,Yoshinori Horie,KO/TKO              Kick,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Featherweight,Gavin Tucker,SeungWoo Choi,SUB              Rear Naked Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Flyweight,Deiveson Figueiredo,Alexandre Pantoja,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Women's Flyweight,Gillian Robertson,Sarah Frota,KO/TKO              Elbows,2,fighter1,2023-09-21 02:02:55.178363
UFC 240: Holloway vs. Edgar,2019-07-27,Welterweight,Erik Koch,Kyle Stewart,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Welterweight,Leon Edwards,Rafael Dos Anjos,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Heavyweight,Walt Harris,Aleksei Oleinik,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Heavyweight,Greg Hardy,Juan Adams,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Lightweight,Dan Hooker,James Vick,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Lightweight,Alexander Hernandez,Francisco Trinaldo,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Heavyweight,Andrei Arlovski,Ben Rothwell,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Featherweight,Alex Caceres,Steven Peterson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Women's Bantamweight,Raquel Pennington,Irene Aldana,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Light Heavyweight,Klidson Abreu,Sam Alvey,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Women's Flyweight,Jennifer Maia,Roxanne Modafferi,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Bantamweight,Ray Borg,Gabriel Silva,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Bantamweight,Mario Bautista,Jin Soo Son,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,Bantamweight,Felipe Colares,Domingo Pilarte,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Women's Bantamweight,Germaine de Randamie,Aspen Ladd,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Bantamweight,Urijah Faber,Ricky Simon,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Featherweight,Josh Emmett,Mirsad Bektic,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Middleweight,Karl Roberson,Wellington Turman,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Middleweight,Marvin Vettori,Cezar Ferreira,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Light Heavyweight,Mike Rodriguez,John Allan,Overturned,3,No contest,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Featherweight,Andre Fili,Sheymon Moraes,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Women's Bantamweight,Julianna Pena,Nicco Montano,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Featherweight,Ryan Hall,Darren Elkins,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Bantamweight,Jonathan Martinez,Pingyuan Liu,KO/TKO              Knee,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Women's Strawweight,Brianna Fortino,Livinha Souza,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,Bantamweight,Benito Lopez,Vince Morales,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Light Heavyweight,Jon Jones,Thiago Santos,S-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Women's Bantamweight,Amanda Nunes,Holly Holm,KO/TKO              Kick,1,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Welterweight,Jorge Masvidal,Ben Askren,KO/TKO              Flying Knee,1,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Light Heavyweight,Jan Blachowicz,Luke Rockhold,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Welterweight,Michael Chiesa,Diego Sanchez,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Featherweight,Arnold Allen,Gilbert Melendez,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Bantamweight,Marlon Vera,Nohelin Hernandez,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Women's Strawweight,Claudia Gadelha,Randa Markos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Bantamweight,Song Yadong,Alejandro Perez,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Middleweight,Edmen Shahbazyan,Jack Marshman,SUB              Rear Naked Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Welterweight,Chance Rencountre,Ismail Naurdiev,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 239: Jones vs. Santos,2019-07-06,Women's Bantamweight,Julia Avila,Pannie Kianzad,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Heavyweight,Francis Ngannou,Junior Dos Santos,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Flyweight,Joseph Benavidez,Jussier Formiga,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Welterweight,Demian Maia,Anthony Rocco Martin,M-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Lightweight,Vinc Pichel,Roosevelt Roberts,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Lightweight,Drew Dober,Marco Polo Reyes,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Light Heavyweight,Alonzo Menifield,Paul Craig,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Bantamweight,Ricardo Ramos,Journey Newson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Light Heavyweight,Eryk Anders,Vinicius Moreira,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Lightweight,Jared Gordon,Dan Moret,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Light Heavyweight,Dalcha Lungiambula,Dequan Townsend,KO/TKO              Punch,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Women's Strawweight,Amanda Ribas,Emily Whitmire,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,Heavyweight,Maurice Greene,Junior Albini,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Featherweight,Chan Sung Jung,Renato Moicano,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Welterweight,Randy Brown,Bryan Barberena,KO/TKO              Kick,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Bantamweight,Andre Ewell,Anderson Dos Santos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Women's Flyweight,Andrea Lee,Montana De La Rosa,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Middleweight,Kevin Holland,Alessio Di Chirico,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Featherweight,Dan Ige,Kevin Aguilar,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Women's Strawweight,Ashley Yoder,Syuri Kondo,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
