,events,odds
379,UFC Fight Night: Bader vs Saint Preux,
380,UFC on FOX: Lawler vs Brown,
381,UFC Fight Night: McGregor vs Brandao,
382,UFC Fight Night: Cowboy vs Miller,
383,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,
384,UFC 175: Weidman vs Machida,
385,UFC Fight Night: Swanson vs Stephens,
386,UFC Fight Night: Te Huna vs Marquardt,
387,UFC 174: Johnson vs Bagautinov,
388,UFC Fight Night: Henderson vs Khabilov,
389,UFC Fight Night: Miocic vs Maldonado,
390,UFC Fight Night: Munoz vs Mousasi,
391,UFC 173: Barao vs Dillashaw,
392,UFC Fight Night: Brown vs Silva,
393,UFC 172: Jones vs Teixeira,
394,UFC on FOX: Werdum vs Browne,
395,UFC Fight Night: Bisping vs Kennedy,
396,UFC Fight Night: Minotauro vs Nelson,
397,UFC Fight Night: Shogun vs Henderson 2,
398,UFC 171: Hendricks vs Lawler,
399,UFC Fight Night: Gustafsson vs Manuwa,
400,UFC Fight Night: Kim vs Hathaway,
401,UFC 170: Rousey vs McMann,
402,UFC Fight Night: Machida vs Mousasi,
403,UFC 169: Barao vs Faber 2,
404,UFC on FOX: Henderson vs Thomson,
405,UFC Fight Night: Rockhold vs Philippou,
406,UFC Fight Night: Saffiedine vs Lim,
407,UFC 168: Weidman vs Silva 2,
408,UFC on FOX: Johnson vs. Benavidez 2,
409,UFC Fight Night: Hunt vs Bigfoot,
410,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,
411,UFC 167: St-Pierre vs Hendricks,
412,UFC Fight Night: Belfort vs Henderson 2,
413,UFC Fight Night: Fight for the Troops 3,
414,UFC Fight Night: Machida vs Munoz,
415,UFC 166: Velasquez vs Dos Santos 3,
416,UFC Fight Night: Maia vs Shields,
417,UFC 165: Jones vs Gustafsson,
418,UFC Fight Night: Teixeira vs Bader,
419,UFC 164: Henderson vs Pettis 2,
420,UFC Fight Night: Condit vs Kampmann 2,
421,UFC Fight Night: Shogun vs Sonnen,
422,UFC 163: Aldo vs Jung,
423,UFC on FOX: Johnson vs Moraga,
424,UFC 162: Silva vs Weidman,
425,UFC 161: Evans vs Henderson,
426,UFC on FUEL TV: Nogueira vs. Werdum,
427,UFC 160: Velasquez vs Silva 2,
428,UFC on FX: Belfort vs. Rockhold,
429,UFC 159: Jones vs Sonnen,
430,UFC on FOX: Henderson vs Melendez,
431,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,
432,UFC on FUEL TV: Mousasi vs Latifi,
433,UFC 158: St-Pierre vs Diaz,
434,UFC on FUEL TV: Silva vs. Stann,
435,UFC 157: Rousey vs Carmouche,
436,UFC on FUEL TV: Barao vs McDonald,
437,UFC 156: Aldo vs Edgar,
438,UFC on FOX: Johnson vs Dodson,
439,UFC on FX: Belfort vs Bisping,
440,UFC 155: Dos Santos vs Velasquez II,
441,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,
442,UFC on FX: Sotiropoulos vs Pearson,
443,UFC on FOX: Henderson vs Diaz,
444,UFC 154: St-Pierre vs Condit,
445,UFC Macao: Franklin vs Le,
446,UFC 153: Silva vs Bonnar,
447,UFC on FX: Browne vs Bigfoot,
448,UFC on FUEL TV: Struve vs Miocic,
449,UFC 152: Jones vs Belfort,
450,UFC 150: Henderson vs Edgar II,
451,UFC on FOX: Shogun vs Vera,
452,UFC 149: Faber vs Barao,
453,UFC on FUEL TV: Munoz vs Weidman,
454,UFC 148: Silva vs Sonnen 2,
455,UFC 147: Silva vs Franklin 2,
456,UFC on FX: Maynard vs Guida,
457,UFC on FX: Johnson vs McCall,
458,The Ultimate Fighter: Live Finale,
459,UFC 146: Dos Santos vs Mir,
460,UFC on FUEL TV: Korean Zombie vs Poirier,
461,UFC on FOX: Diaz vs Miller,
462,UFC 145: Jones vs Evans,
463,UFC on FUEL TV: Gustafsson vs Silva,
464,UFC on FX: Alves vs Kampmann,
465,UFC 144: Edgar vs Henderson,
466,UFC on FUEL TV: Sanchez vs Ellenberger,
467,UFC 143: Diaz vs Condit,
468,UFC on FOX: Evans vs Davis,
469,UFC on FX: Guillard vs Miller,
470,UFC 142: Aldo vs Mendes,
471,UFC 141: Lesnar vs Overeem,
472,UFC 140: Jones vs Machida,
473,The Ultimate Fighter: Team Bisping vs Team Miller Finale,
474,UFC 139: Shogun vs Henderson,
475,UFC on FOX: Velasquez vs Dos Santos,
476,UFC 138: Leben vs Munoz,
477,UFC 137: Penn vs Diaz,
478,UFC 136: Edgar vs Maynard 3,
479,UFC Live: Cruz vs Johnson,
480,UFC 135: Jones vs Rampage,
481,UFC Fight Night: Shields vs Ellenberger,
482,UFC 134: Silva vs Okami,
483,UFC Live: Hardy vs Lytle,
484,UFC 133: Evans vs Ortiz 2,
485,UFC 132: Cruz vs Faber,
486,UFC Live: Kongo vs Barry,
487,UFC 131: Dos Santos vs Carwin,
488,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,
489,UFC 130: Rampage vs Hamill,
490,UFC 129: St-Pierre vs Shields,
491,UFC Fight Night: Nogueira vs Davis,
492,UFC 128: Shogun vs Jones,
493,UFC Live: Sanchez vs Kampmann,
494,UFC 127: Penn vs Fitch,
495,UFC 126: Silva vs Belfort,
496,UFC Fight Night: Fight for the Troops 2,
497,UFC 125: Resolution,
498,UFC 124: St-Pierre vs Koscheck 2,
499,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,
500,UFC 123: Rampage vs Machida,
501,UFC 122: Marquardt vs Okami,
502,UFC 121: Lesnar vs Velasquez,
503,UFC 120: Bisping vs Akiyama,
504,UFC 119: Mir vs Cro Cop,
505,UFC Fight Night: Marquardt vs Palhares,
506,UFC 118: Edgar vs Penn 2,
507,UFC 117: Silva vs Sonnen,
508,UFC Live: Jones vs Matyushenko,
509,UFC 116: Lesnar vs Carwin,
510,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,
511,UFC 115: Liddell vs Franklin,
512,UFC 114: Rampage vs Evans,
513,UFC 113: Machida vs Shogun 2,
514,UFC 112: Invincible,
515,UFC Fight Night: Florian vs Gomi,
516,UFC 111: St-Pierre vs Hardy,
517,UFC Live: Vera vs Jones,
518,UFC 110: Nogueira vs Velasquez,
519,UFC 109: Relentless,
520,UFC Fight Night: Maynard vs Diaz,
521,UFC 108: Evans vs Silva,
522,UFC 107: Penn vs Sanchez,
523,The Ultimate Fighter: Heavyweights Finale,
524,UFC 106: Ortiz vs Griffin 2,
525,UFC 105: Couture vs Vera,
526,UFC 104: Machida vs Shogun,
527,UFC 103: Franklin vs Belfort,
528,UFC Fight Night: Diaz vs Guillard,
529,UFC 102: Couture vs Nogueira,
530,UFC 101: Declaration,
531,UFC 100,
532,The Ultimate Fighter: United States vs. United Kingdom Finale,
533,UFC 99: The Comeback,
534,UFC 98: Evans vs Machida,
535,UFC 97: Redemption,
536,UFC Fight Night: Condit vs Kampmann,
537,UFC 96: Jackson vs Jardine,
538,UFC 95: Sanchez vs Stevenson,
539,UFC Fight Night: Lauzon vs Stephens,
540,UFC 94: St-Pierre vs Penn 2,
541,UFC 93: Franklin vs Henderson,
542,UFC 92: The Ultimate 2008,
543,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,
544,UFC Fight Night - Fight for the Troops,
545,UFC 91: Couture vs Lesnar,
546,UFC 90: Silva vs Cote,
547,UFC 89: Bisping vs Leben,
548,UFC Fight Night: Diaz vs Neer,
549,UFC 88: Breakthrough,
550,UFC 87: Seek And Destroy,
551,UFC: Silva vs Irvin,
552,UFC 86: Jackson vs Griffin,
553,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,
554,UFC 85: Bedlam,
555,UFC 84: Ill Will,
556,UFC 83: Serra vs St-Pierre 2,
557,UFC Fight Night: Florian vs Lauzon,
558,UFC 82: Pride of a Champion,
559,UFC 81: Breaking Point,
560,UFC Fight Night: Swick vs Burkman,
561,UFC 80: Rapid Fire,
562,UFC 79: Nemesis,
563,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,
564,UFC 78: Validation,
565,UFC 77: Hostile Territory,
566,UFC 76: Knockout,
567,UFC Fight Night: Thomas vs Florian,
568,UFC 75: Champion vs Champion,
569,UFC 74: Respect,
570,UFC 73: Stacked,
571,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,
572,UFC 72: Victory,
573,UFC Fight Night: Stout vs Fisher,
574,UFC 71: Liddell vs Jackson,
575,UFC 70: Nations Collide,
576,UFC 69: Shootout,
577,UFC Fight Night: Stevenson vs Guillard,
578,UFC 68: The Uprising,
579,UFC 67: All or Nothing,
580,UFC Fight Night: Evans vs Salmon,
581,UFC 66: Liddell vs Ortiz 2,
582,UFC Fight Night: Sanchez vs Riggs,
583,UFC 65: Bad Intentions,
584,The Ultimate Fighter: The Comeback Finale,
585,UFC 64: Unstoppable,
586,Ortiz vs Shamrock 3: The Final Chapter,
587,UFC 63: Hughes vs Penn,
588,UFC 62: Liddell vs Sobral,
589,UFC Fight Night 6,
590,UFC 61: Bitter Rivals,
591,UFC Fight Night 5,
592,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,
593,UFC 60: Hughes vs Gracie,
594,UFC 59: Reality Check,
595,UFC Fight Night 4,
596,UFC 58: USA vs Canada,
597,UFC 57: Liddell vs Couture 3,
598,UFC Fight Night 3,
599,UFC 56: Full Force,
600,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,
601,UFC 55: Fury,
602,UFC Fight Night 2,
603,UFC 54: Boiling Point,
604,UFC Fight Night 1,
605,UFC 53: Heavy Hitters,
606,UFC 52: Couture vs Liddell 2,
607,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,
608,UFC 51: Super Saturday,
609,UFC 50: The War Of '04,
610,UFC 49: Unfinished Business,
611,UFC 48: Payback,
612,UFC 47: It's On!,
613,UFC 46: Supernatural,
614,UFC 45: Revolution,
615,UFC 44: Undisputed,
616,UFC 43: Meltdown,
617,UFC 42: Sudden Impact,
618,UFC 41: Onslaught,
619,UFC 40: Vendetta,
620,UFC 39: The Warriors Return,
621,UFC 38: Brawl at the Hall,
622,UFC 37.5: As Real As It Gets,
623,UFC 37: High Impact,
624,UFC 36: Worlds Collide,
625,UFC 35: Throwdown,
626,UFC 34: High Voltage,
627,UFC 33: Victory in Vegas,
628,UFC 32: Showdown in the Meadowlands,
629,UFC 31: Locked and Loaded,
630,UFC 30: Battle on the Boardwalk,
631,UFC 29: Defense of the Belts,
632,UFC 28: High Stakes,
633,UFC 27: Ultimate Bad Boyz,
634,UFC 26: Ultimate Field Of Dreams,
635,UFC 25: Ultimate Japan 3,
636,UFC 24: First Defense,
637,UFC 23: Ultimate Japan 2,
638,UFC 22: Only One Can be Champion,
639,UFC 21: Return of the Champions,
640,UFC 20: Battle for the Gold,
641,UFC 19: Ultimate Young Guns,
642,UFC 18: The Road to the Heavyweight Title,
643,UFC - Ultimate Brazil,
644,UFC 17: Redemption,
645,UFC 16: Battle in the Bayou,
646,UFC - Ultimate Japan,
647,UFC 15: Collision Course,
648,UFC 14: Showdown,
649,UFC 13: The Ultimate Force,
650,UFC 12: Judgement Day,
651,UFC - Ultimate Ultimate '96,
652,UFC 11: The Proving Ground,
653,UFC 10: The Tournament,
654,UFC 9: Motor City Madness,
655,UFC 8: David vs Goliath,
656,UFC - Ultimate Ultimate '95,
657,UFC 7: The Brawl in Buffalo,
658,UFC 6: Clash of the Titans,
659,UFC 5: The Return of the Beast,
660,UFC 4: Revenge of the Warriors,
661,UFC 3: The American Dream,
662,UFC 2: No Way Out,
