,events,odds
71,UFC 271: Adesanya vs. Whittaker 2,UFC Fight Night 76 - Holohan vs. Smolka
72,UFC Fight Night: Hermansson vs. Strickland,UFC Fight Night 77: Belfort vs. Henderson 3
73,UFC 270: Ngannou vs. Gane,UFC 193 - Rousey vs. Holm
74,UFC Fight Night: Kattar vs. Chikadze,UFC Fight Night 78 - Magny vs. Gastelum
75,UFC Fight Night: Lewis vs. Daukaus,UFC Fight Night 79 - Henderson vs. Masvidal
76,UFC 269: Oliveira vs. Poirier,UFC Fight Night - VanZant vs Namajunas
77,UFC Fight Night: Font vs. Aldo,UFC - The Ultimate Fighter 22 Finale
78,UFC Fight Night: Vieira vs. Tate,UFC 194 - Aldo vs. McGregor
79,UFC Fight Night: Holloway vs. Rodriguez,UFC on Fox 17 - Dos Anjos vs. Cerrone 2
80,UFC 268: Usman vs. Covington 2,UFC 195 - Lawler vs Condit
81,UFC 267: Blachowicz vs. Teixeira,UFC Fight Night - Dillashaw vs. Cruz
82,UFC Fight Night: Costa vs. Vettori,UFC on Fox 18 - Johnson vs. Bader
83,UFC Fight Night: Ladd vs. Dumont,UFC Fight Night 82 - Hendricks vs. Thompson
84,UFC Fight Night: Dern vs. Rodriguez,UFC Fight Night 82 - Cerrone vs. Oliveira
85,UFC Fight Night: Santos vs. Walker,UFC Fight Night 84 - Silva vs. Bisping
86,UFC 266: Volkanovski vs. Ortega,UFC 196 - McGregor vs. Diaz
87,UFC Fight Night: Smith vs. Spann,UFC Fight Night 84 - Hunt vs. Mir
88,UFC Fight Night: Brunson vs. Till,UFC Fight Night 86 - Zagreb
89,UFC Fight Night: Barboza vs. Chikadze,UFC on Fox 19 - Teixeira vs. Evans
90,UFC Fight Night: Cannonier vs. Gastelum,UFC 197 - Jones vs. St Preux
91,UFC 265: Lewis vs. Gane,UFC Fight Night - Overeem vs. Arlovski
92,UFC Fight Night: Hall vs. Strickland,UFC 198 - Werdum vs. Miocic
93,UFC Fight Night: Sandhagen vs. Dillashaw,UFC Fight Night - Almeida vs. Garbrandt
94,UFC Fight Night: Makhachev vs. Moises,UFC 199 - Rockhold vs Bisping 2
95,UFC 264: Poirier vs. McGregor 3,UFC Fight Night - MacDonald vs. Thompson
96,UFC Fight Night: Gane vs. Volkov,UFC Fight Night - Dos Anjos vs. Alvarez
97,UFC Fight Night: Jung vs. Ige,UFC - The Ultimate Fighter 23 Finale
98,UFC 263: Adesanya vs. Vettori 2,UFC 200 - Tate vs. Nunes
99,UFC Fight Night: Rozenstruik vs. Sakai,UFC Fight Night 91 - McDonald vs. Lineker
