event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Alexa Grasso,Valentina Shevchenko,Draw,1                                  0,84                                  80,1                                  4,1                                  1,S-DEC,5,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Welterweight,Jack Della Maddalena,Kevin Holland,fighter1,0                                  0,105                                  127,0                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Bantamweight,Raul Rosas Jr.,Terrence Mitchell,fighter1,1                                  0,18                                  6,0                                  0,0                                  0,KO/TKO              Punches,1,0:54,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Daniel Zellhuber,Christos Giagos,fighter1,0                                  0,36                                  38,0                                  0,1                                  0,SUB              Anaconda Choke,2,3:26,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Featherweight,Kyle Nelson,Fernando Padilla,fighter1,0                                  0,82                                  72,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Loopy Godinez,Elise Reed,fighter1,1                                  0,21                                  3,5                                  0,6                                  0,SUB              Rear Naked Choke,2,3:38,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Middleweight,Roman Kopylov,Josh Fremd,fighter1,1                                  0,49                                  38,0                                  0,0                                  0,KO/TKO              Punch,2,4:44,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Flyweight,Edgar Chairez,Daniel Lacerda,No contest,0                                  0,12                                  4,0                                  1,1                                  0,Overturned,1,3:47,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,fighter1,0                                  0,103                                  77,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Charlie Campbell,Alex Reyes,fighter1,1                                  0,43                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:38,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Josefine Knutsson,Marnic Mann,fighter1,0                                  0,81                                  8,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Middleweight,Sean Strickland,Israel Adesanya,fighter1,1                                  0,137                                  94,0                                  0,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Alexander Volkov,Tai Tuivasa,fighter1,1                                  0,93                                  28,0                                  0,1                                  0,SUB              Ezekiel Choke,2,4:37,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Flyweight,Manel Kape,Felipe dos Santos,fighter1,1                                  0,112                                  99,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Justin Tafa,Austen Lane,fighter1,1                                  0,11                                  7,0                                  0,0                                  0,KO/TKO              Punch,1,1:22,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Tyson Pedro,Anton Turkalj,fighter1,1                                  0,16                                  8,0                                  0,0                                  0,KO/TKO              Punch,1,2:12,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Carlos Ulberg,Da Woon Jung,fighter1,1                                  0,81                                  58,1                                  1,1                                  0,SUB              Rear Naked Choke,3,4:49,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Chepe Mariscal,Jack Jenkins,fighter1,0                                  0,38                                  41,1                                  0,0                                  0,KO/TKO,2,3:19,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Jamie Mullarkey,John Makdessi,fighter1,0                                  0,88                                  83,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Nasrat Haqparast,Landon Quinones,fighter1,0                                  0,171                                  148,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Charles Radtke,Blood Diamond,fighter1,0                                  0,35                                  44,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Gabriel Miranda,Shane Young,fighter1,0                                  0,2                                  1,1                                  0,1                                  0,SUB              Rear Naked Choke,1,0:59,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Kevin Jousset,Kiefer Crosbie,fighter1,0                                  0,29                                  39,1                                  0,1                                  0,SUB              Rear Naked Choke,1,4:49,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Heavyweight,Ciryl Gane,Serghei Spivac,fighter1,0                                  0,109                                  11,0                                  0,0                                  0,KO/TKO              Punches,2,3:44,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Flyweight,Manon Fiorot,Rose Namajunas,fighter1,0                                  0,58                                  60,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Lightweight,Benoit Saint Denis,Thiago Moises,fighter1,0                                  0,101                                  24,5                                  1,0                                  1,KO/TKO              Punches,2,4:44,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Light Heavyweight,Volkan Oezdemir,Bogdan Guskov,fighter1,1                                  0,26                                  8,1                                  0,1                                  0,SUB              Rear Naked Choke,1,3:46,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,William Gomis,Yanis Ghemmouri,fighter1,0                                  0,52                                  28,0                                  0,2                                  0,KO/TKO              Kick,3,2:20,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,Morgan Charriere,Manolo Zecchini,fighter1,1                                  0,26                                  9,0                                  0,0                                  0,KO/TKO              Kicks,1,3:51,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Taylor Lapilus,Caolan Loughran,fighter1,0                                  0,84                                  48,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Welterweight,Ange Loosa,Rhys McKee,fighter1,0                                  0,98                                  77,6                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Bantamweight,Nora Cornolle,Joselyne Edwards,fighter1,0                                  0,40                                  18,0                                  5,0                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Farid Basharat,Kleydson Rodrigues,fighter1,0                                  0,4                                  7,2                                  0,1                                  0,SUB              Arm Triangle,1,4:15,2023-09-21 02:02:55.178363
UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Catch Weight,Jacqueline Cavalcanti,Zarah Fairn,fighter1,0                                  0,126                                  39,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Max Holloway,Chan Sung Jung,fighter1,2                                  0,75                                  34,0                                  0,1                                  0,KO/TKO              Punch,3,0:23,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Light Heavyweight,Anthony Smith,Ryan Spann,fighter1,0                                  0,91                                  59,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Giga Chikadze,Alex Caceres,fighter1,0                                  0,65                                  62,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Rinya Nakamura,Fernie Garcia,fighter1,0                                  0,36                                  15,4                                  0,3                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Women's Flyweight,Erin Blanchfield,Taila Santos,fighter1,0                                  0,61                                  55,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Junior Tafa,Parker Porter,fighter1,1                                  0,8                                  2,0                                  0,0                                  0,KO/TKO              Punch,1,1:24,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Waldo Cortes-Acosta,Lukasz Brzeski,fighter1,1                                  0,15                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:01,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Garrett Armfield,Toshiomi Kazama,fighter1,1                                  0,45                                  15,0                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Middleweight,Michal Oleksiejczuk,Chidi Njokuani,fighter1,0                                  0,44                                  29,1                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Welterweight,Song Kenan,Rolando Bedoya,fighter1,1                                  0,75                                  112,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Welterweight,Billy Goff,Yusaku Kinoshita,fighter1,1                                  0,40                                  17,0                                  0,0                                  0,KO/TKO              Punch,1,3:49,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Women's Flyweight,JJ Aldrich,Liang Na,fighter1,0                                  0,47                                  11,0                                  3,0                                  0,KO/TKO              Elbows,2,4:49,2023-09-21 02:02:55.178363
UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,SeungWoo Choi,Jarno Errens,fighter1,1                                  1,56                                  30,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Bantamweight,Sean O'Malley,Aljamain Sterling,fighter1,1                                  0,25                                  17,0                                  0,0                                  0,KO/TKO              Punches,2,0:51,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Women's Strawweight,Zhang Weili,Amanda Lemos,fighter1,1                                  0,163                                  24,6                                  0,0                                  2,U-DEC,5,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Welterweight,Ian Garry,Neil Magny,fighter1,0                                  0,91                                  27,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Bantamweight,Mario Bautista,Da'Mon Blackshear,fighter1,0                                  0,79                                  90,2                                  4,1                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Bantamweight,Marlon Vera,Pedro Munhoz,fighter1,0                                  0,141                                  113,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Middleweight,Brad Tavares,Chris Weidman,fighter1,0                                  0,70                                  37,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Middleweight,Gregory Rodrigues,Denis Tiuliulin,fighter1,0                                  0,5                                  2,1                                  0,0                                  0,KO/TKO              Elbows,1,1:43,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Lightweight,Kurt Holobaugh,Austin Hubbard,fighter1,0                                  0,61                                  44,0                                  2,2                                  0,SUB              Triangle Choke,2,2:39,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Bantamweight,Brad Katona,Cody Gibson,fighter1,0                                  0,160                                  164,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Middleweight,Andre Petroski,Gerald Meerschaert,fighter1,1                                  0,57                                  76,2                                  1,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Women's Flyweight,Natalia Silva,Andrea Lee,fighter1,0                                  0,70                                  43,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 292: Sterling vs. O'Malley,August 19 2023,"Boston, Massachusetts, USA",Women's Flyweight,Karine Silva,Maryna Moroz,fighter1,1                                  0,30                                  16,1                                  0,1                                  0,SUB              Guillotine Choke,1,4:59,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Welterweight,Vicente Luque,Rafael Dos Anjos,fighter1,0                                  0,72                                  66,8                                  2,0                                  1,U-DEC,5,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Featherweight,Cub Swanson,Hakeem Dawodu,fighter1,0                                  0,77                                  95,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Light Heavyweight,Khalil Rountree Jr.,Chris Daukaus,fighter1,1                                  0,16                                  8,0                                  0,0                                  0,KO/TKO              Punch,1,2:40,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Iasmin Lucindo,Polyana Viana,fighter1,0                                  0,10                                  10,2                                  1,1                                  0,SUB              Arm Triangle,2,3:42,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Middleweight,AJ Dobson,Tafon Nchukwi,fighter1,0                                  0,67                                  53,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Middleweight,Josh Fremd,Jamie Pickett,fighter1,0                                  0,31                                  14,0                                  2,2                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Bantamweight,Marcus McGhee,JP Buys,fighter1,1                                  0,7                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,2:19,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Lightweight,Terrance McKinney,Mike Breeden,fighter1,0                                  0,30                                  1,0                                  0,0                                  0,KO/TKO              Punches,1,1:25,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Featherweight,Isaac Dulgarian,Francis Marshall,fighter1,0                                  0,35                                  2,1                                  0,0                                  0,KO/TKO              Elbows,1,4:48,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Heavyweight,Martin Buday,Josh Parisian,fighter1,0                                  0,42                                  26,1                                  0,1                                  0,SUB              Kimura,1,4:11,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Jaqueline Amorim,Montserrat Conejo Ruiz,fighter1,0                                  0,86                                  6,1                                  1,4                                  0,KO/TKO              Punches,3,3:41,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Bantamweight,Da'Mon Blackshear,Jose Johnson,fighter1,0                                  0,18                                  8,2                                  0,1                                  0,SUB              Twister,1,3:47,2023-09-21 02:02:55.178363
UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Luana Santos,Juliana Miller,fighter1,0                                  0,63                                  24,0                                  0,0                                  0,KO/TKO              Punches,1,3:41,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Catch Weight,Cory Sandhagen,Rob Font,fighter1,0                                  0,34                                  9,7                                  1,1                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Women's Strawweight,Tatiana Suarez,Jessica Andrade,fighter1,0                                  0,23                                  11,3                                  0,1                                  0,SUB              Guillotine Choke,2,1:31,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Light Heavyweight,Dustin Jacoby,Kennedy Nzechukwu,fighter1,1                                  0,10                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,1:22,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Diego Lopes,Gavin Tucker,fighter1,0                                  0,0                                  0,0                                  1,3                                  0,SUB              Triangle Armbar,1,1:38,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Light Heavyweight,Tanner Boser,Aleksa Camur,fighter1,0                                  0,120                                  68,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Lightweight,Ludovit Klein,Ignacio Bahamondes,fighter1,0                                  0,56                                  43,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Bantamweight,Kyler Phillips,Raoni Barcelos,fighter1,1                                  0,72                                  46,1                                  3,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Welterweight,Carlston Harris,Jeremiah Wells,fighter1,0                                  0,5                                  18,0                                  3,1                                  2,SUB              Anaconda Choke,3,1:50,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Billy Quarantillo,Damon Jackson,fighter1,0                                  0,100                                  67,0                                  3,1                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Flyweight,Cody Durden,Jake Hadley,fighter1,0                                  0,38                                  26,4                                  0,1                                  3,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Sean Woodson,Dennis Buzukja,fighter1,0                                  0,71                                  42,4                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Flyweight,Assu Almabayev,Ode Osbourne,fighter1,0                                  0,26                                  4,2                                  0,2                                  0,SUB              Rear Naked Choke,2,3:11,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Lightweight,Justin Gaethje,Dustin Poirier,fighter1,1                                  0,41                                  27,0                                  0,0                                  0,KO/TKO              Kick,2,1:00,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Light Heavyweight,Alex Pereira,Jan Blachowicz,fighter1,0                                  0,70                                  52,0                                  3,1                                  2,S-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Heavyweight,Derrick Lewis,Marcos Rogerio de Lima,fighter1,1                                  0,17                                  1,0                                  0,0                                  0,KO/TKO              Punches,1,0:33,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Lightweight,Bobby Green,Tony Ferguson,fighter1,0                                  0,137                                  54,0                                  0,1                                  0,SUB              Arm Triangle,3,4:54,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Kevin Holland,Michael Chiesa,fighter1,0                                  0,9                                  4,0                                  0,1                                  0,SUB              D'Arce Choke,1,2:39,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Gabriel Bonfim,Trevin Giles,fighter1,0                                  0,3                                  1,1                                  0,1                                  0,SUB              Guillotine Choke,1,1:13,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Flyweight,CJ Vergara,Vinicius Salvador,fighter1,0                                  0,109                                  88,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Middleweight,Roman Kopylov,Claudio Ribeiro,fighter1,1                                  0,32                                  32,0                                  0,0                                  0,KO/TKO              Kick,2,0:33,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Jake Matthews,Darrius Flowers,fighter1,0                                  0,60                                  36,0                                  1,1                                  0,SUB              Rear Naked Choke,2,2:37,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Uros Medic,Matthew Semelsberger,fighter1,1                                  1,69                                  52,1                                  0,0                                  0,KO/TKO              Spinning Back Elbow,3,2:36,2023-09-21 02:02:55.178363
UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Women's Flyweight,Miranda Maverick,Priscila Cachoeira,fighter1,0                                  0,36                                  11,3                                  0,1                                  0,SUB              Armbar,3,2:11,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Heavyweight,Tom Aspinall,Marcin Tybura,fighter1,1                                  0,13                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,1:13,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Women's Flyweight,Julija Stoliarenko,Molly McCann,fighter1,0                                  0,9                                  6,1                                  0,1                                  0,SUB              Armbar,1,1:55,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Featherweight,Nathaniel Wood,Andre Fili,fighter1,1                                  1,84                                  58,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Middleweight,Paul Craig,Andre Muniz,fighter1,0                                  0,40                                  24,2                                  2,1                                  0,KO/TKO              Elbows,2,4:40,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Lightweight,Fares Ziam,Jai Herbert,fighter1,0                                  0,61                                  49,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Featherweight,Lerone Murphy,Josh Culibao,fighter1,1                                  0,59                                  23,3                                  0,2                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Bantamweight,Daniel Marcos,Davey Grant,fighter1,0                                  0,48                                  70,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Welterweight,Jonny Parsons,Danny Roberts,fighter1,2                                  0,63                                  44,0                                  0,0                                  0,KO/TKO              Punches,2,4:57,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Lightweight,Joel Alvarez,Marc Diakiese,fighter1,0                                  0,42                                  20,0                                  2,1                                  0,SUB              D'Arce Choke,2,4:26,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Heavyweight,Mick Parkin,Jamal Pogues,fighter1,0                                  0,95                                  36,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Middleweight,Makhmud Muradov,Bryan Barberena,fighter1,2                                  0,54                                  28,13                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Women's Bantamweight,Ketlen Vieira,Pannie Kianzad,fighter1,0                                  0,15                                  22,3                                  0,3                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Lightweight,Chris Duncan,Yanal Ashmouz,fighter1,0                                  0,85                                  35,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
