event,favourite,underdog,favourite_odds,underdog_odds,outcome
UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,1.13,9.0,favourite
UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,1.57,4.5,favourite
UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,1.43,3.2,favourite
UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,1.36,3.55,favourite
UFC 159 - Jones vs. Sonnen,Jim Miller,Pat Healy,1.4,3.4,underdog
UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,1.54,3.4,favourite
UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,1.69,2.4,favourite
UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,1.18,5.8,favourite
UFC 159 - Jones vs. Sonnen,Johnny Bedford,Bryan Caraway,1.91,2.15,underdog
UFC 159 - Jones vs. Sonnen,Leonard Garcia,Cody McKenzie,1.53,2.93,underdog
UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,1.95,2.06,favourite
UFC on FX 8 - Belfort vs. Rockhold,Vitor Belfort,Luke Rockhold,1.95,2.04,favourite
UFC on FX 8 - Belfort vs. Rockhold,Ronaldo Souza,Chris Camozzi,1.17,6.0,favourite
UFC on FX 8 - Belfort vs. Rockhold,Rafael dos Anjos,Evan Dunham,1.5,2.91,favourite
UFC on FX 8 - Belfort vs. Rockhold,Rafael Natal,Joao Zeferino,1.36,3.7,favourite
UFC on FX 8 - Belfort vs. Rockhold,Nik Lentz,Hacran Dias,1.99,2.1,favourite
UFC on FX 8 - Belfort vs. Rockhold,Francisco Trinaldo,Mike Rio,1.33,3.9,favourite
UFC on FX 8 - Belfort vs. Rockhold,Gleison Tibau,John Cholish,1.42,3.35,favourite
UFC on FX 8 - Belfort vs. Rockhold,Paulo Thiago,Michel Prazeres,1.57,2.76,favourite
UFC on FX 8 - Belfort vs. Rockhold,Yuri Alcantara,Iliarde Santos,1.2,5.5,favourite
UFC on FX 8 - Belfort vs. Rockhold,Fabio Maldonado,Roger Hollett,1.38,3.45,favourite
UFC on FX 8 - Belfort vs. Rockhold,Azamat Gashimov,John Lineker,1.87,2.1,underdog
UFC on FX 8 - Belfort vs. Rockhold,Jussier Formiga,Chris Cariaso,1.65,2.55,favourite
UFC on FX 8 - Belfort vs. Rockhold,Lucas Martins,Jeremy Larsen,1.33,3.85,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,1.16,6.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,1.25,5.25,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,1.33,4.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Gray Maynard,T.J. Grant,1.74,2.65,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,1.37,3.48,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Rick Story,Mike Pyle,1.67,2.5,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,1.4,3.65,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Colton Smith,Robert Whittaker,1.71,2.75,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,1.4,3.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,1.63,2.65,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Brian Bowles,George Roop,1.36,3.66,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,1.6,2.9,favourite
UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,1.25,4.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Rory MacDonald,Jake Ellenberger,1.43,3.14,favourite
UFC on Fox 8 - Johnson vs. Moraga,Robbie Lawler,Bobby Voelker,1.29,4.15,favourite
UFC on Fox 8 - Johnson vs. Moraga,Liz Carmouche,Jessica Andrade,1.2,5.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Jorge Masvidal,Michael Chiesa,1.4,3.55,favourite
UFC on Fox 8 - Johnson vs. Moraga,Danny Castillo,Tim Means,1.5,3.45,favourite
UFC on Fox 8 - Johnson vs. Moraga,Melvin Guillard,Mac Danzig,1.91,2.45,favourite
UFC on Fox 8 - Johnson vs. Moraga,Daron Cruickshank,Yves Edwards,1.67,2.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Ed Herman,Trevor Smith,1.57,3.0,favourite
UFC on Fox 8 - Johnson vs. Moraga,Germaine de Randamie,Julie Kedzie,1.63,2.7,favourite
UFC on Fox 8 - Johnson vs. Moraga,Justin Salas,Aaron Riley,1.45,3.2,favourite
UFC on Fox 8 - Johnson vs. Moraga,John Albert,Yaotzin Meza,1.47,3.3,underdog
UFC 163 - Aldo vs. Korean Zombie,Jose Aldo,Chan Sung Jung,1.15,8.05,favourite
UFC 163 - Aldo vs. Korean Zombie,Phil Davis,Lyoto Machida,1.4,4.05,favourite
UFC 163 - Aldo vs. Korean Zombie,Cezar Ferreira,Thiago Santos,1.22,5.1,favourite
UFC 163 - Aldo vs. Korean Zombie,Thales Leites,Tom Watson,1.69,2.5,favourite
UFC 163 - Aldo vs. Korean Zombie,John Lineker,Jose Maria Tome,1.27,4.55,favourite
UFC 163 - Aldo vs. Korean Zombie,Vinny Magalhaes,Anthony Perosh,1.22,5.35,underdog
UFC 163 - Aldo vs. Korean Zombie,Amanda Nunes,Sheila Gaff,1.51,3.0,favourite
UFC 163 - Aldo vs. Korean Zombie,Sergio Moraes,Neil Magny,1.72,2.51,favourite
UFC 163 - Aldo vs. Korean Zombie,Ian McCall,Iliarde Santos,1.22,5.05,favourite
UFC 163 - Aldo vs. Korean Zombie,Rani Yahya,Josh Clopton,1.13,9.17,favourite
UFC 163 - Aldo vs. Korean Zombie,Ednaldo Oliveira,Francimar Barroso,1.83,2.4,underdog
UFC 163 - Aldo vs. Korean Zombie,Viscardi Andrade,Bristol Marunde,1.57,2.77,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Mauricio Rua,Chael Sonnen,1.67,2.55,underdog
UFC Fight Night 26 - Shogun vs. Sonnen,Alistair Overeem,Travis Browne,1.67,2.7,underdog
UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Faber,Yuri Alcantara,1.47,3.05,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Matt Brown,Mike Pyle,1.8,2.3,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Hall,John Howard,1.22,5.2,underdog
UFC Fight Night 26 - Shogun vs. Sonnen,Joe Lauzon,Michael Johnson,1.42,3.6,underdog
UFC Fight Night 26 - Shogun vs. Sonnen,Michael McDonald,Brad Pickett,1.33,4.05,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Conor McGregor,Max Holloway,1.42,3.85,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Mike Brown,Steven Siler,1.5,2.9,underdog
UFC Fight Night 26 - Shogun vs. Sonnen,Diego Brandao,Daniel Pineda,1.57,3.0,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Manny Gamburyan,Cole Miller,1.8,2.31,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Ovince St Preux,Cody Donovan,1.31,4.63,favourite
UFC Fight Night 26 - Shogun vs. Sonnen,Ramsey Nijem,James Vick,1.57,2.75,underdog
UFC 167 - St. Pierre vs. Hendricks,Georges St. Pierre,Johny Hendricks,1.54,2.85,favourite
UFC 167 - St. Pierre vs. Hendricks,Rashad Evans,Chael Sonnen,1.5,3.2,favourite
UFC 167 - St. Pierre vs. Hendricks,Rory MacDonald,Robbie Lawler,1.26,4.65,underdog
UFC 167 - St. Pierre vs. Hendricks,Tyron Woodley,Josh Koscheck,1.95,2.3,favourite
UFC 167 - St. Pierre vs. Hendricks,Tim Elliott,Ali Bagautinov,1.67,2.5,underdog
UFC 167 - St. Pierre vs. Hendricks,Donald Cerrone,Evan Dunham,1.87,2.15,favourite
UFC 167 - St. Pierre vs. Hendricks,Thales Leites,Ed Herman,1.61,2.71,favourite
UFC 167 - St. Pierre vs. Hendricks,Rick Story,Brian Ebersole,1.49,3.01,favourite
UFC 167 - St. Pierre vs. Hendricks,Erik Perez,Edwin Figueroa,1.24,4.78,favourite
UFC 167 - St. Pierre vs. Hendricks,Jason High,Anthony Lapsley,1.32,3.9,favourite
UFC 167 - St. Pierre vs. Hendricks,Sergio Pettis,Will Campuzano,1.26,4.55,favourite
UFC 167 - St. Pierre vs. Hendricks,Gian Villante,Cody Donovan,1.31,4.1,favourite
UFC - The Ultimate Fighter 18 Finale,Gray Maynard,Nate Diaz,1.83,2.14,underdog
UFC - The Ultimate Fighter 18 Finale,Julianna Pena,Jessica Rakoczy,1.36,3.6,favourite
UFC - The Ultimate Fighter 18 Finale,Chris Holdsworth,Davey Grant,1.5,2.95,favourite
UFC - The Ultimate Fighter 18 Finale,Jessamyn Duke,Peggy Morgan,1.43,3.25,favourite
UFC - The Ultimate Fighter 18 Finale,Raquel Pennington,Roxanne Modafferi,1.26,5.16,favourite
UFC - The Ultimate Fighter 18 Finale,Maximo Blanco,Akira Corassani,1.55,2.77,underdog
UFC - The Ultimate Fighter 18 Finale,Rani Yahya,Tom Niinimaki,1.95,2.0,underdog
UFC - The Ultimate Fighter 18 Finale,Jared Rosholt,Walt Harris,1.45,3.5,favourite
UFC - The Ultimate Fighter 18 Finale,Sean Spencer,Drew Dober,1.45,3.1,favourite
UFC - The Ultimate Fighter 18 Finale,Josh Sampo,Ryan Benoit,1.87,2.05,favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,Antonio Silva,Mark Hunt,1.71,2.7,nan
UFC Fight Night 33 - Hunt vs. Bigfoot,James Te Huna,Mauricio Rua,1.75,2.4,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Ryan Bader,Anthony Perosh,1.21,5.65,favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,Pat Barry,Soa Palelei,1.59,2.6,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Dylan Andrews,Clint Hester,1.74,2.3,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Julie Kedzie,Bethe Correia,1.61,2.6,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Takeya Mizugaki,Nam Phan,1.33,4.0,favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,Nick Ring,Caio Magalhaes,1.57,2.85,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Justin Scoggins,Richie Vaculik,1.3,4.1,favourite
UFC Fight Night 33 - Hunt vs. Bigfoot,Bruno Santos,Krzysztof Jotko,1.45,3.15,underdog
UFC Fight Night 33 - Hunt vs. Bigfoot,Alex Garcia,Ben Wall,1.16,6.55,favourite
UFC 168 - Weidman vs. Silva 2,Anderson Silva,Chris Weidman,1.58,2.75,underdog
UFC 168 - Weidman vs. Silva 2,Ronda Rousey,Miesha Tate,1.17,6.55,favourite
UFC 168 - Weidman vs. Silva 2,Josh Barnett,Travis Browne,1.74,2.35,underdog
UFC 168 - Weidman vs. Silva 2,Jim Miller,Fabricio Camoes,1.26,4.76,favourite
UFC 168 - Weidman vs. Silva 2,Dustin Poirier,Diego Brandao,1.46,3.2,favourite
UFC 168 - Weidman vs. Silva 2,Urijah Hall,Chris Leben,1.38,3.96,favourite
UFC 168 - Weidman vs. Silva 2,Michael Johnson,Gleison Tibau,1.71,2.35,favourite
UFC 168 - Weidman vs. Silva 2,Dennis Siver,Manny Gamburyan,1.35,3.86,favourite
UFC 168 - Weidman vs. Silva 2,Siyar Bahadurzada,John Howard,1.69,2.4,underdog
UFC 168 - Weidman vs. Silva 2,Bobby Voelker,William Macario,1.77,2.25,underdog
UFC 168 - Weidman vs. Silva 2,Robbie Peralta,Estevan Payan,1.61,2.65,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Tarec Saffiedine,Hyun Gyu Lim,1.47,3.11,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Tatsuya Kawajiri,Sean Soriano,1.98,2.3,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Luiz Dutra,Kiichi Kunimoto,1.67,2.45,underdog
UFC Fight Night 34 - Saffiedine vs. Lim,Kyung Ho Kang,Shunichi Shimizu,1.33,3.95,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Max Holloway,Will Chope,1.43,3.46,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Katsunori Kikuno,Quinn Mulhern,1.61,2.7,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Dave Galera,Royston Wee,1.57,2.75,underdog
UFC Fight Night 34 - Saffiedine vs. Lim,Mairbek Taisumov,Tae Hyun Bang,1.31,4.2,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Dustin Kimura,Jon delos Reyes,1.36,4.25,favourite
UFC Fight Night 34 - Saffiedine vs. Lim,Leandro Issa,Russell Doane,1.83,2.15,underdog
UFC Fight Night 35 - Rockhold vs. Philippou,Luke Rockhold,Costas Philippou,1.29,4.6,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Lorenz Larkin,Brad Tavares,1.43,3.4,underdog
UFC Fight Night 35 - Rockhold vs. Philippou,T.J. Dillashaw,Mike Easton,1.36,3.79,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Yoel Romero,Derek Brunson,1.51,3.14,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,John Moraga,Dustin Ortiz,1.48,3.59,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Cole Miller,Sam Sicilia,1.87,2.24,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Ramsey Nijem,Justin Edwards,1.69,2.5,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Elias Silverio,Isaac Vallie-Flagg,1.65,2.65,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Brian Houston,Trevor Smith,1.77,2.28,underdog
UFC Fight Night 35 - Rockhold vs. Philippou,Alptekin Ozkilic,Louis Smolka,1.37,3.75,underdog
UFC Fight Night 35 - Rockhold vs. Philippou,Vinc Pichel,Garett Whiteley,1.68,2.4,favourite
UFC Fight Night 35 - Rockhold vs. Philippou,Charlie Brenneman,Beneil Dariush,1.61,2.85,underdog
UFC on Fox 10 - Henderson vs. Thomson,Benson Henderson,Josh Thomson,1.36,3.8,favourite
UFC on Fox 10 - Henderson vs. Thomson,Stipe Miocic,Gabriel Gonzaga,1.4,3.6,favourite
UFC on Fox 10 - Henderson vs. Thomson,Donald Cerrone,Adriano Martins,1.59,2.62,favourite
UFC on Fox 10 - Henderson vs. Thomson,Jeremy Stephens,Darren Elkins,1.88,2.15,favourite
UFC on Fox 10 - Henderson vs. Thomson,Sergio Pettis,Alex Caceres,1.54,2.9,underdog
UFC on Fox 10 - Henderson vs. Thomson,Eddie Wineland,Yves Jabouin,1.24,5.26,favourite
UFC on Fox 10 - Henderson vs. Thomson,Chico Camus,Yaotzin Meza,1.54,2.8,favourite
UFC on Fox 10 - Henderson vs. Thomson,Hugo Viana,Ramiro Hernandez,1.31,3.93,favourite
UFC on Fox 10 - Henderson vs. Thomson,Daron Cruickshank,Mike Rio,1.43,3.25,favourite
UFC on Fox 10 - Henderson vs. Thomson,Mike Rhodes,George Sullivan,1.4,3.55,underdog
UFC on Fox 10 - Henderson vs. Thomson,Walt Harris,Nikita Krylov,1.25,4.55,underdog
UFC 169 - Barao vs. Faber 2,Renan Barao,Urijah Faber,1.3,4.05,favourite
UFC 169 - Barao vs. Faber 2,Jose Aldo,Ricardo Lamas,1.15,7.01,favourite
UFC 169 - Barao vs. Faber 2,Alistair Overeem,Frank Mir,1.26,4.75,favourite
UFC 169 - Barao vs. Faber 2,Ali Bagautinov,John Lineker,1.69,2.44,favourite
UFC 169 - Barao vs. Faber 2,Jamie Varner,Abel Trujillo,1.87,2.1,underdog
UFC 169 - Barao vs. Faber 2,John Makdessi,Alan Patrick,1.8,2.4,underdog
UFC 169 - Barao vs. Faber 2,Chris Cariaso,Danny Martinez,1.61,2.71,favourite
UFC 169 - Barao vs. Faber 2,Tom Watson,Nick Catone,1.83,2.6,underdog
UFC 169 - Barao vs. Faber 2,Al Iaquinta,Kevin Lee,1.67,3.1,favourite
UFC 169 - Barao vs. Faber 2,Clint Hester,Andy Enz,1.57,2.9,favourite
UFC 169 - Barao vs. Faber 2,Rashid Magomedov,Tony Martin,1.71,3.2,favourite
UFC 169 - Barao vs. Faber 2,Gasan Umalatov,Neil Magny,1.69,2.65,underdog
UFC Fight Night 36 - Machida vs. Mousasi,Lyoto Machida,Gegard Mousasi,1.5,3.0,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Ronaldo Souza,Francis Carmont,1.21,5.5,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Erick Silva,Takenori Sato,1.09,10.01,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Viscardi Andrade,Nico Musoke,1.74,2.31,underdog
UFC Fight Night 36 - Machida vs. Mousasi,Charles Oliveira,Andy Ogle,1.14,7.38,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Joe Proctor,Cristiano Marcello,1.43,3.3,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Ivan Jorge,Rodrigo Damm,1.68,2.55,underdog
UFC Fight Night 36 - Machida vs. Mousasi,Francisco Trinaldo,Jesse Ronson,1.65,2.55,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Yuri Alcantara,Wilson Reis,1.48,3.2,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Felipe Arantes,Maximo Blanco,2.0,2.2,favourite
UFC Fight Night 36 - Machida vs. Mousasi,Albert Tumenov,Ildemar Alcantara,1.48,3.05,underdog
UFC Fight Night 36 - Machida vs. Mousasi,Zubaira Tukhugov,Douglas Silva de Andrade,1.95,2.04,favourite
UFC Fight Night 38 - Shogun vs. Henderson 2,Mauricio Rua,Dan Henderson,1.65,2.55,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Cezar Ferreira,C.B. Dollaway,1.3,4.58,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Norman Parke,Leonardo Santos,1.36,3.95,nan
UFC Fight Night 38 - Shogun vs. Henderson 2,Gian Villante,Fabio Maldonado,1.57,3.85,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Mairbek Taisumov,Michel Prazeres,1.32,3.85,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Rony Jason,Steven Siler,1.56,2.7,favourite
UFC Fight Night 38 - Shogun vs. Henderson 2,Ronny Markes,Thiago Santos,1.13,7.6,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Scott Jorgensen,Jussier Formiga,1.54,2.75,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Thiago de Oliveira Perpetuo,Kenny Robertson,1.77,2.27,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Francimar Barroso,Hans Stringer,1.77,2.27,underdog
UFC Fight Night 38 - Shogun vs. Henderson 2,Noad Lahat,Godofredo Pepey,1.36,3.85,underdog
UFC - The Ultimate Fighter Nations Finale,Michael Bisping,Tim Kennedy,1.5,2.85,underdog
UFC - The Ultimate Fighter Nations Finale,Kyle Noke,Patrick Cote,1.52,2.85,underdog
UFC - The Ultimate Fighter Nations Finale,Elias Theodorou,Sheldon Westcott,1.57,2.81,favourite
UFC - The Ultimate Fighter Nations Finale,Olivier Aubin-Mercier,Chad Laprise,1.67,2.45,underdog
UFC - The Ultimate Fighter Nations Finale,Dustin Poirier,Akira Corassani,1.1,9.5,favourite
UFC - The Ultimate Fighter Nations Finale,Sam Stout,K.J. Noons,1.99,2.04,underdog
UFC - The Ultimate Fighter Nations Finale,Sarah Kaufman,Leslie Smith,1.4,3.45,favourite
UFC - The Ultimate Fighter Nations Finale,Ryan Jimmo,Sean O'Connell,1.17,7.15,favourite
UFC - The Ultimate Fighter Nations Finale,George Roop,Dustin Kimura,1.71,2.51,favourite
UFC - The Ultimate Fighter Nations Finale,Mark Bocek,Mike de la Torre,1.16,6.7,favourite
UFC - The Ultimate Fighter Nations Finale,Nordine Taleb,Vik Grujic,1.43,3.18,favourite
UFC - The Ultimate Fighter Nations Finale,Richard Walsh,Chris Indich,1.44,3.17,favourite
UFC - The Ultimate Fighter Nations Finale,Mitch Gagnon,Tim Gorman,1.32,3.9,favourite
UFC on Fox 11 - Werdum vs. Browne,Travis Browne,Fabricio Werdum,1.45,3.15,underdog
UFC on Fox 11 - Werdum vs. Browne,Miesha Tate,Liz Carmouche,1.56,2.81,favourite
UFC on Fox 11 - Werdum vs. Browne,Edson Barboza,Donald Cerrone,1.71,2.62,underdog
UFC on Fox 11 - Werdum vs. Browne,Brad Tavares,Yoel Romero,1.72,2.36,underdog
UFC on Fox 11 - Werdum vs. Browne,Khabib Nurmagomedov,Rafael dos Anjos,1.36,3.75,favourite
UFC on Fox 11 - Werdum vs. Browne,Thiago Alves,Seth Baczynski,1.24,5.23,favourite
UFC on Fox 11 - Werdum vs. Browne,Jorge Masvidal,Pat Healy,1.38,3.48,favourite
UFC on Fox 11 - Werdum vs. Browne,Estevan Payan,Alex White,1.87,2.3,underdog
UFC on Fox 11 - Werdum vs. Browne,Caio Magalhaes,Luke Zachrich,1.35,3.86,favourite
UFC on Fox 11 - Werdum vs. Browne,Jordan Mein,Hernani Perpetuo,1.24,4.75,favourite
UFC on Fox 11 - Werdum vs. Browne,Dustin Ortiz,Ray Borg,1.67,2.5,favourite
UFC on Fox 11 - Werdum vs. Browne,Mirsad Bektic,Chas Skelly,1.74,2.3,favourite
UFC on Fox 11 - Werdum vs. Browne,Derrick Lewis,Jack May,1.34,3.6,favourite
UFC 172 - Jones vs. Teixeira,Jon Jones,Glover Teixeira,1.24,5.05,favourite
UFC 172 - Jones vs. Teixeira,Phil Davis,Anthony Johnson,1.47,3.2,underdog
UFC 172 - Jones vs. Teixeira,Luke Rockhold,Tim Boetsch,1.14,9.0,favourite
UFC 172 - Jones vs. Teixeira,Jim Miller,Yancy Medeiros,1.65,2.8,favourite
UFC 172 - Jones vs. Teixeira,Andre Fili,Max Holloway,1.77,2.25,underdog
UFC 172 - Jones vs. Teixeira,Joseph Benavidez,Tim Elliott,1.24,5.0,favourite
UFC 172 - Jones vs. Teixeira,Takanori Gomi,Isaac Vallie-Flagg,1.67,2.53,favourite
UFC 172 - Jones vs. Teixeira,Jessamyn Duke,Bethe Correia,1.83,2.25,underdog
UFC 172 - Jones vs. Teixeira,Danny Castillo,Charlie Brenneman,1.29,4.2,favourite
UFC 172 - Jones vs. Teixeira,Chris Beal,Patrick Williams,1.91,2.21,favourite
UFC Fight Night 40 - Brown vs. Silva,Erick Silva,Matt Brown,1.56,3.1,underdog
UFC Fight Night 40 - Brown vs. Silva,Lorenz Larkin,Costas Philippou,1.64,3.25,underdog
UFC Fight Night 40 - Brown vs. Silva,Erik Koch,Daron Cruickshank,1.34,4.05,underdog
UFC Fight Night 40 - Brown vs. Silva,Neil Magny,Tim Means,1.36,3.85,favourite
UFC Fight Night 40 - Brown vs. Silva,Soa Palelei,Ruan Potts,1.33,3.95,favourite
UFC Fight Night 40 - Brown vs. Silva,Louis Smolka,Chris Cariaso,1.69,2.36,underdog
UFC Fight Night 40 - Brown vs. Silva,Rafael Natal,Ed Herman,1.69,2.75,underdog
UFC Fight Night 40 - Brown vs. Silva,Kyoji Horiguchi,Darrell Montague,1.52,2.9,favourite
UFC Fight Night 40 - Brown vs. Silva,Yan Cabral,Zak Cummings,1.19,5.75,underdog
UFC Fight Night 40 - Brown vs. Silva,Eddie Wineland,Johnny Eduardo,1.13,8.35,underdog
UFC Fight Night 40 - Brown vs. Silva,Nik Lentz,Manny Gamburyan,1.21,5.6,favourite
UFC Fight Night 40 - Brown vs. Silva,Justin Salas,Ben Wall,1.36,3.6,favourite
UFC Fight Night 40 - Brown vs. Silva,Albert Tumenov,Anthony Lapsley,1.4,3.45,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Benson Henderson,Rustam Khabilov,1.46,3.17,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Ross Pearson,Diego Sanchez,1.77,2.4,underdog
UFC Fight Night 42 - Henderson vs. Khabilov,John Dodson,John Moraga,1.2,5.8,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Rafael dos Anjos,Jason High,1.38,3.55,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Piotr Hallmann,Yves Edwards,1.65,2.5,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Erik Perez,Bryan Caraway,1.83,2.15,underdog
UFC Fight Night 42 - Henderson vs. Khabilov,Sergio Pettis,Yaotzin Meza,1.18,6.4,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Bobby Voelker,Lance Benoist,1.95,2.0,underdog
UFC Fight Night 42 - Henderson vs. Khabilov,Scott Jorgensen,Danny Martinez,1.42,3.25,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Jon Tuck,Jake Lindsey,1.67,2.44,favourite
UFC Fight Night 42 - Henderson vs. Khabilov,Patrick Cummins,Roger Narvaez,1.32,3.85,favourite
UFC 174 - Johnson vs. Bagautinov,Demetrious Johnson,Ali Bagautinov,1.18,6.6,favourite
UFC 174 - Johnson vs. Bagautinov,Rory MacDonald,Tyron Woodley,1.95,2.05,favourite
UFC 174 - Johnson vs. Bagautinov,Ryan Bader,Rafael Cavalcante,1.63,2.55,favourite
UFC 174 - Johnson vs. Bagautinov,Brendan Schaub,Andrei Arlovski,1.71,2.4,underdog
UFC 174 - Johnson vs. Bagautinov,Ovince St Preux,Ryan Jimmo,1.62,2.6,favourite
UFC 174 - Johnson vs. Bagautinov,Daniel Sarafian,Kiichi Kunimoto,1.22,5.15,underdog
UFC 174 - Johnson vs. Bagautinov,Elizabeth Phillips,Valerie Letourneau,1.83,2.25,underdog
UFC 174 - Johnson vs. Bagautinov,Mike Easton,Yves Jabouin,1.47,3.0,underdog
UFC 174 - Johnson vs. Bagautinov,Kajan Johnson,Tae Hyun Bang,1.56,2.7,underdog
UFC 174 - Johnson vs. Bagautinov,Michinori Tanaka,Roland Delorme,1.67,2.4,favourite
UFC 174 - Johnson vs. Bagautinov,Josh Shockley,Jason Saggo,1.95,2.0,underdog
UFC Fight Night 44 - Swanson vs. Stephens,Cub Swanson,Jeremy Stephens,1.47,3.07,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Kelvin Gastelum,Nico Musoke,1.36,3.9,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Cezar Ferreira,Andrew Craig,1.38,3.9,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Ricardo Lamas,Hacran Dias,1.4,3.48,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Antonio Braga Neto,Clint Hester,1.67,2.45,underdog
UFC Fight Night 44 - Swanson vs. Stephens,Joe Ellenberger,James Moontasri,1.57,2.8,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Carlos Diego Ferreira,Colton Smith,1.54,2.75,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Johnny Bedford,Cody Gibson,1.59,2.77,underdog
UFC Fight Night 44 - Swanson vs. Stephens,Andy Enz,Marcelo Guimaraes,1.53,2.95,underdog
UFC Fight Night 44 - Swanson vs. Stephens,Ray Borg,Shane Howell,1.24,5.1,favourite
UFC Fight Night 44 - Swanson vs. Stephens,Aleksei Oleinik,Anthony Hamilton,1.73,2.3,favourite
UFC Fight Night 46 - McGregor vs. Brandao,Conor McGregor,Diego Brandao,1.18,6.6,favourite
