event_date,weight_class,fighter1,fighter2,outcome
2021-02-06,Featherweight,SeungWoo Choi,Youssef Zalal,fighter1
2021-02-06,Featherweight,Timur Valiev,Martin Day,fighter1
2021-02-06,Featherweight,Ode Osbourne,Jerome Rivera,fighter1
2021-01-23,Lightweight,Dustin Poirier,Conor McGregor,fighter1
2021-01-23,Lightweight,Michael Chandler,Dan Hooker,fighter1
2021-01-23,Women's Flyweight,Joanne Wood,Jessica Eye,fighter1
2021-01-23,Middleweight,Makhmud Muradov,Andrew Sanchez,fighter1
2021-01-23,Women's Strawweight,Marina Rodriguez,Amanda Ribas,fighter1
2021-01-23,Lightweight,Arman Tsarukyan,Matt Frevola,fighter1
2021-01-23,Middleweight,Brad Tavares,Antonio Carlos Junior,fighter1
2021-01-23,Women's Bantamweight,Julianna Pena,Sara McMann,fighter1
2021-01-23,Light Heavyweight,Marcin Prachnio,Khalil Rountree Jr.,fighter1
2021-01-23,Catch Weight,Movsar Evloev,Nik Lentz,fighter1
2021-01-23,Flyweight,Amir Albazi,Zhalgas Zhumagulov,fighter1
2021-01-20,Welterweight,Michael Chiesa,Neil Magny,fighter1
2021-01-20,Welterweight,Warlley Alves,Mounir Lazzez,fighter1
2021-01-20,Light Heavyweight,Ike Villanueva,Vinicius Moreira,fighter1
2021-01-20,Women's Flyweight,Viviane Araujo,Roxanne Modafferi,fighter1
2021-01-20,Flyweight,Matt Schnell,Tyson Nam,fighter1
2021-01-20,Featherweight,Lerone Murphy,Douglas Silva de Andrade,fighter1
2021-01-20,Middleweight,Omari Akhmedov,Tom Breese,fighter1
2021-01-20,Bantamweight,Ricky Simon,Gaetano Pirrello,fighter1
2021-01-20,Flyweight,Sumudaerji,Zarrukh Adashev,fighter1
2021-01-20,Middleweight,Dalcha Lungiambula,Markus Perez,fighter1
2021-01-20,Flyweight,Francisco Figueiredo,Jerome Rivera,fighter1
2021-01-20,Lightweight,Mike Davis,Mason Jones,fighter1
2021-01-20,Bantamweight,Umar Nurmagomedov,Sergey Morozov,fighter1
2021-01-20,Women's Flyweight,Manon Fiorot,Victoria Leonardo,fighter1
2021-01-16,Featherweight,Max Holloway,Calvin Kattar,fighter1
2021-01-16,Welterweight,Carlos Condit,Matt Brown,fighter1
2021-01-16,Welterweight,Li Jingliang,Santiago Ponzinibbio,fighter1
2021-01-16,Middleweight,Alessio Di Chirico,Joaquin Buckley,fighter1
2021-01-16,Middleweight,Punahele Soriano,Dusko Todorovic,fighter1
2021-01-16,Women's Bantamweight,Joselyne Edwards,Wu Yanan,fighter1
2021-01-16,Heavyweight,Carlos Felipe,Justin Tafa,fighter1
2021-01-16,Welterweight,Ramazan Emeev,David Zawada,fighter1
2021-01-16,Women's Bantamweight,Vanessa Melo,Sarah Moras,fighter1
2021-01-16,Featherweight,Austin Lingo,Jacob Kilburn,fighter1
2020-12-19,Welterweight,Stephen Thompson,Geoff Neal,fighter1
2020-12-19,Bantamweight,Jose Aldo,Marlon Vera,fighter1
2020-12-19,Welterweight,Michel Pereira,Khaos Williams,fighter1
2020-12-19,Bantamweight,Rob Font,Marlon Moraes,fighter1
2020-12-19,Heavyweight,Marcin Tybura,Greg Hardy,fighter1
2020-12-19,Welterweight,Anthony Pettis,Alex Morono,fighter1
2020-12-19,Women's Bantamweight,Pannie Kianzad,Sijara Eubanks,fighter1
2020-12-19,Catch Weight,Deron Winn,Antonio Arroyo,fighter1
2020-12-19,Women's Flyweight,Taila Santos,Gillian Robertson,fighter1
2020-12-19,Middleweight,Tafon Nchukwi,Jamie Pickett,fighter1
2020-12-19,Flyweight,Jimmy Flick,Cody Durden,fighter1
2020-12-19,Catch Weight,Christos Giagos,Carlton Minus,fighter1
2020-12-12,Flyweight,Deiveson Figueiredo,Brandon Moreno,Draw
2020-12-12,Lightweight,Charles Oliveira,Tony Ferguson,fighter1
2020-12-12,Women's Strawweight,Mackenzie Dern,Virna Jandiroba,fighter1
2020-12-12,Middleweight,Kevin Holland,Jacare Souza,fighter1
2020-12-12,Heavyweight,Ciryl Gane,Junior Dos Santos,fighter1
2020-12-12,Featherweight,Cub Swanson,Daniel Pineda,fighter1
2020-12-12,Lightweight,Rafael Fiziev,Renato Moicano,fighter1
2020-12-12,Featherweight,Gavin Tucker,Billy Quarantillo,fighter1
2020-12-12,Women's Strawweight,Tecia Torres,Sam Hughes,fighter1
2020-12-12,Featherweight,Chase Hooper,Peter Barrett,fighter1
2020-12-05,Middleweight,Marvin Vettori,Jack Hermansson,fighter1
2020-12-05,Light Heavyweight,Jamahal Hill,Ovince Saint Preux,fighter1
2020-12-05,Lightweight,Gabriel Benitez,Justin Jaynes,fighter1
2020-12-05,Light Heavyweight,Roman Dolidze,John Allan,fighter1
2020-12-05,Lightweight,Jordan Leavitt,Matt Wiman,fighter1
2020-12-05,Bantamweight,Louis Smolka,Jose Quinonez,fighter1
2020-12-05,Featherweight,Ilia Topuria,Damon Jackson,fighter1
2020-12-05,Heavyweight,Jake Collier,Gian Villante,fighter1
2020-11-28,Light Heavyweight,Anthony Smith,Devin Clark,fighter1
2020-11-28,Welterweight,Miguel Baeza,Takashi Sato,fighter1
2020-11-28,Heavyweight,Parker Porter,Josh Parisian,fighter1
2020-11-28,Featherweight,Bill Algeo,Spike Carlyle,fighter1
2020-11-28,Women's Bantamweight,Norma Dumont,Ashlee Evans-Smith,fighter1
2020-11-28,Featherweight,Jonathan Pearce,Kai Kamaka,fighter1
2020-11-28,Bantamweight,Anderson Dos Santos,Martin Day,fighter1
2020-11-28,Women's Flyweight,Gina Mazany,Rachael Ostovich,fighter1
2020-11-28,Flyweight,Sumudaerji,Malcolm Gordon,fighter1
2020-11-28,Catch Weight,Nate Maness,Luke Sanders,fighter1
2020-11-21,Flyweight,Deiveson Figueiredo,Alex Perez,fighter1
2020-11-21,Women's Flyweight,Valentina Shevchenko,Jennifer Maia,fighter1
2020-11-21,Welterweight,Tim Means,Mike Perry,fighter1
2020-11-21,Women's Flyweight,Katlyn Chookagian,Cynthia Calvillo,fighter1
2020-11-21,Light Heavyweight,Paul Craig,Mauricio Rua,fighter1
2020-11-21,Flyweight,Brandon Moreno,Brandon Royval,fighter1
2020-11-21,Middleweight,Joaquin Buckley,Jordan Wright,fighter1
2020-11-21,Women's Flyweight,Antonina Shevchenko,Ariane Lipski,fighter1
2020-11-21,Welterweight,Nicolas Dalby,Daniel Rodriguez,fighter1
2020-11-21,Welterweight,Alan Jouban,Jared Gooden,fighter1
2020-11-21,Middleweight,Kyle Daukaus,Dustin Stoltzfus,fighter1
2020-11-21,Welterweight,Sasha Palatnikov,Louis Cosce,fighter1
2020-11-14,Lightweight,Rafael Dos Anjos,Paul Felder,fighter1
2020-11-14,Welterweight,Khaos Williams,Abdul Razak Alhassan,fighter1
2020-11-14,Women's Strawweight,Ashley Yoder,Miranda Granger,fighter1
2020-11-14,Catch Weight,Sean Strickland,Brendan Allen,fighter1
2020-11-14,Women's Strawweight,Cory McKenna,Kay Hansen,fighter1
2020-11-14,Women's Strawweight,Kanako Murata,Randa Markos,fighter1
2020-11-14,Bantamweight,Tony Gravely,Geraldo de Freitas,fighter1
2020-11-14,Welterweight,Alex Morono,Rhys McKee,fighter1
2020-11-14,Heavyweight,Don'Tale Mayes,Roque Martinez,fighter1
2020-11-07,Light Heavyweight,Glover Teixeira,Thiago Santos,fighter1
2020-11-07,Heavyweight,Andrei Arlovski,Tanner Boser,fighter1
2020-11-07,Bantamweight,Raoni Barcelos,Khalid Taha,fighter1
2020-11-07,Featherweight,Giga Chikadze,Jamey Simmons,fighter1
2020-11-07,Women's Strawweight,Yan Xiaonan,Claudia Gadelha,fighter1
2020-11-07,Middleweight,Trevin Giles,Bevon Lewis,fighter1
2020-11-07,Heavyweight,Alexandr Romanov,Marcos Rogerio de Lima,fighter1
2020-11-07,Featherweight,Darren Elkins,Eduardo Garagorri,fighter1
2020-11-07,Welterweight,Max Griffin,Ramiz Brahimaj,fighter1
2020-11-07,Bantamweight,Gustavo Lopez,Anthony Birchak,fighter1
2020-10-31,Middleweight,Uriah Hall,Anderson Silva,fighter1
2020-10-31,Featherweight,Bryce Mitchell,Andre Fili,fighter1
2020-10-31,Heavyweight,Greg Hardy,Maurice Greene,fighter1
2020-10-31,Middleweight,Kevin Holland,Charlie Ontiveros,fighter1
2020-10-31,Lightweight,Thiago Moises,Bobby Green,fighter1
2020-10-31,Lightweight,Alexander Hernandez,Chris Gruetzemacher,fighter1
2020-10-31,Bantamweight,Adrian Yanez,Victor Rodriguez,fighter1
2020-10-31,Middleweight,Sean Strickland,Jack Marshman,fighter1
2020-10-31,Welterweight,Jason Witt,Cole Williams,fighter1
2020-10-31,Light Heavyweight,Dustin Jacoby,Justin Ledet,fighter1
2020-10-31,Bantamweight,Miles Johns,Kevin Natividad,fighter1
2020-10-24,Lightweight,Khabib Nurmagomedov,Justin Gaethje,fighter1
2020-10-24,Middleweight,Robert Whittaker,Jared Cannonier,fighter1
2020-10-24,Heavyweight,Alexander Volkov,Walt Harris,fighter1
2020-10-24,Middleweight,Phil Hawes,Jacob Malkoun,fighter1
2020-10-24,Women's Flyweight,Lauren Murphy,Liliya Shakirova,fighter1
2020-10-24,Light Heavyweight,Magomed Ankalaev,Ion Cutelaba,fighter1
2020-10-24,Heavyweight,Tai Tuivasa,Stefan Struve,fighter1
2020-10-24,Catch Weight,Casey Kenney,Nathaniel Wood,fighter1
2020-10-24,Welterweight,Shavkat Rakhmonov,Alex Oliveira,fighter1
2020-10-24,Light Heavyweight,Da Woon Jung,Sam Alvey,Draw
2020-10-24,Women's Flyweight,Miranda Maverick,Liana Jojua,fighter1
2020-10-24,Lightweight,Joel Alvarez,Alexander Yakovlev,fighter1
2020-10-17,Featherweight,Brian Ortega,Chan Sung Jung,fighter1
2020-10-17,Women's Flyweight,Jessica Andrade,Katlyn Chookagian,fighter1
2020-10-17,Light Heavyweight,Jimmy Crute,Modestas Bukauskas,fighter1
2020-10-17,Welterweight,James Krause,Claudio Silva,fighter1
2020-10-17,Featherweight,Jonathan Martinez,Thomas Almeida,fighter1
2020-10-17,Lightweight,Guram Kutateladze,Mateusz Gamrot,fighter1
2020-10-17,Women's Flyweight,Gillian Robertson,Poliana Botelho,fighter1
2020-10-17,Middleweight,JunYong Park,John Phillips,fighter1
2020-10-17,Lightweight,Fares Ziam,Jamie Mullarkey,fighter1
2020-10-17,Light Heavyweight,Maxim Grishin,Gadzhimurad Antigulov,fighter1
2020-10-17,Bantamweight,Said Nurmagomedov,Mark Striegl,fighter1
2020-10-10,Bantamweight,Cory Sandhagen,Marlon Moraes,fighter1
2020-10-10,Featherweight,Edson Barboza,Makwan Amirkhani,fighter1
2020-10-10,Heavyweight,Marcin Tybura,Ben Rothwell,fighter1
2020-10-10,Middleweight,Dricus Du Plessis,Markus Perez,fighter1
2020-10-10,Heavyweight,Tom Aspinall,Alan Baudot,fighter1
2020-10-10,Featherweight,Ilia Topuria,Youssef Zalal,fighter1
2020-10-10,Middleweight,Tom Breese,KB Bhullar,fighter1
2020-10-10,Heavyweight,Chris Daukaus,Rodrigo Nascimento,fighter1
2020-10-10,Middleweight,Joaquin Buckley,Impa Kasanganay,fighter1
2020-10-10,Bantamweight,Tony Kelley,Ali AlQaisi,fighter1
2020-10-10,Featherweight,Giga Chikadze,Omar Morales,fighter1
2020-10-10,Women's Bantamweight,Tracy Cortez,Stephanie Egger,fighter1
2020-10-10,Flyweight,Tagir Ulanbekov,Bruno Silva,fighter1
2020-10-03,Women's Bantamweight,Holly Holm,Irene Aldana,fighter1
2020-10-03,Heavyweight,Carlos Felipe,Yorgan De Castro,fighter1
2020-10-03,Women's Bantamweight,Germaine de Randamie,Julianna Pena,fighter1
2020-10-03,Bantamweight,Kyler Phillips,Cameron Else,fighter1
2020-10-03,Middleweight,Dusko Todorovic,Dequan Townsend,fighter1
2020-10-03,Welterweight,Carlos Condit,Court McGee,fighter1
2020-10-03,Featherweight,Charles Jourdain,Josh Culibao,Draw
2020-10-03,Middleweight,Nassourdine Imavov,Jordan Williams,fighter1
2020-10-03,Women's Strawweight,Loma Lookboonmee,Jinh Yu Frey,fighter1
2020-10-03,Bantamweight,Casey Kenney, Alatengheili,fighter1
2020-10-03,Lightweight,Luigi Vendramini,Jessin Ayari,fighter1
2020-09-26,Middleweight,Israel Adesanya,Paulo Costa,fighter1
2020-09-26,Light Heavyweight,Jan Blachowicz,Dominick Reyes,fighter1
2020-09-26,Flyweight,Brandon Royval,Kai Kara-France,fighter1
2020-09-26,Women's Bantamweight,Ketlen Vieira,Sijara Eubanks,fighter1
2020-09-26,Featherweight,Hakeem Dawodu,Zubaira Tukhugov,fighter1
2020-09-26,Lightweight,Brad Riddell,Alex Da Silva,fighter1
2020-09-26,Welterweight,Jake Matthews,Diego Sanchez,fighter1
2020-09-26,Featherweight,Ludovit Klein,Shane Young,fighter1
2020-09-26,Light Heavyweight,William Knight,Aleksa Camur,fighter1
2020-09-26,Heavyweight,Juan Espino,Jeff Hughes,fighter1
2020-09-26,Light Heavyweight,Danilo Marques,Khadis Ibragimov,fighter1
2020-09-19,Welterweight,Colby Covington,Tyron Woodley,fighter1
2020-09-19,Welterweight,Donald Cerrone,Niko Price,No contest
2020-09-19,Middleweight,Khamzat Chimaev,Gerald Meerschaert,fighter1
2020-09-19,Light Heavyweight,Johnny Walker,Ryan Spann,fighter1
2020-09-19,Women's Strawweight,Mackenzie Dern,Randa Markos,fighter1
2020-09-19,Middleweight,Kevin Holland,Darren Stewart,fighter1
2020-09-19,Flyweight,David Dvorak,Jordan Espinosa,fighter1
2020-09-19,Featherweight,Damon Jackson,Mirsad Bektic,fighter1
2020-09-19,Women's Flyweight,Mayra Bueno Silva,Mara Romero Borella,fighter1
2020-09-19,Women's Bantamweight,Jessica-Rose Clark,Sarah Alpar,fighter1
2020-09-19,Featherweight,Darrick Minner,TJ Laramie,fighter1
2020-09-19,Bantamweight,Randy Costa,Journey Newson,fighter1
2020-09-19,Bantamweight,Andre Ewell,Irwin Rivera,fighter1
2020-09-19,Bantamweight,Tyson Nam,Jerome Rivera,fighter1
2020-09-12,Women's Strawweight,Michelle Waterson-Gomez,Angela Hill,fighter1
2020-09-12,Lightweight,Ottman Azaitar,Khama Worthy,fighter1
2020-09-12,Women's Flyweight,Roxanne Modafferi,Andrea Lee,fighter1
2020-09-12,Light Heavyweight,Ed Herman,Mike Rodriguez,fighter1
2020-09-12,Lightweight,Bobby Green,Alan Patrick,fighter1
2020-09-12,Featherweight,Billy Quarantillo,Kyle Nelson,fighter1
2020-09-12,Women's Bantamweight,Sijara Eubanks,Julia Avila,fighter1
2020-09-12,Lightweight,Roosevelt Roberts,Kevin Croom,No contest
2020-09-12,Heavyweight,Alexandr Romanov,Roque Martinez,fighter1
2020-09-12,Catch Weight,Jalin Turner,Brok Weaver,fighter1
2020-09-12,Welterweight,Bryan Barberena,Anthony Ivy,fighter1
2020-09-12,Women's Flyweight,Sabina Mazo,Justine Kish,fighter1
2020-09-05,Heavyweight,Alistair Overeem,Augusto Sakai,fighter1
2020-09-05,Light Heavyweight,Ovince Saint Preux,Alonzo Menifield,fighter1
2020-09-05,Welterweight,Michel Pereira,Zelim Imadaev,fighter1
2020-09-05,Middleweight,Andre Muniz,Bartosz Fabinski,fighter1
2020-09-05,Featherweight,Brian Kelleher,Ray Rodriguez,fighter1
2020-09-05,Women's Flyweight,Viviane Araujo,Montana De La Rosa,fighter1
2020-09-05,Bantamweight,Hunter Azure,Cole Smith,fighter1
2020-08-29,Light Heavyweight,Aleksandar Rakic,Anthony Smith,fighter1
2020-08-29,Welterweight,Neil Magny,Robbie Lawler,fighter1
2020-08-29,Women's Flyweight,Alexa Grasso,Ji Yeon Kim,fighter1
2020-08-29,Featherweight,Ricardo Lamas,Bill Algeo,fighter1
2020-08-29,Middleweight,Impa Kasanganay,Maki Pitolo,fighter1
2020-08-29,Middleweight,Zak Cummings,Alessio Di Chirico,fighter1
2020-08-29,Featherweight,Alex Caceres,Austin Springer,fighter1
2020-08-29,Welterweight,Sean Brady,Christian Aguilera,fighter1
2020-08-29,Women's Strawweight,Polyana Viana,Emily Whitmire,fighter1
2020-08-29,Women's Strawweight,Mallory Martin,Hannah Cifers,fighter1
2020-08-22,Bantamweight,Frankie Edgar,Pedro Munhoz,fighter1
2020-08-22,Light Heavyweight,Mike Rodriguez,Marcin Prachnio,fighter1
2020-08-22,Lightweight,Joe Solecki,Austin Hubbard,fighter1
2020-08-22,Women's Flyweight,Shana Dobson,Mariya Agapova,fighter1
2020-08-22,Welterweight,Daniel Rodriguez,Dwight Grant,fighter1
2020-08-22,Women's Strawweight,Amanda Lemos,Mizuki,fighter1
2020-08-22,Light Heavyweight,Jordan Wright,Ike Villanueva,fighter1
2020-08-22,Welterweight,Matthew Semelsberger,Carlton Minus,fighter1
2020-08-22,Catch Weight,Timur Valiev,Trevin Jones,No contest
2020-08-15,Heavyweight,Stipe Miocic,Daniel Cormier,fighter1
2020-08-15,Bantamweight,Marlon Vera,Sean O'Malley,fighter1
2020-08-15,Heavyweight,Jairzinho Rozenstruik,Junior Dos Santos,fighter1
2020-08-15,Featherweight,Daniel Pineda,Herbert Burns,fighter1
2020-08-15,Bantamweight,Merab Dvalishvili,John Dodson,fighter1
2020-08-15,Lightweight,Vinc Pichel,Jim Miller,fighter1
2020-08-15,Women's Strawweight,Virna Jandiroba,Felice Herrig,fighter1
2020-08-15,Featherweight,Danny Chavez,TJ Brown,fighter1
2020-08-15,Women's Strawweight,Livinha Souza,Ashley Yoder,fighter1
2020-08-15,Heavyweight,Chris Daukaus,Parker Porter,fighter1
2020-08-15,Featherweight,Kai Kamaka,Tony Kelley,fighter1
2020-08-08,Heavyweight,Derrick Lewis,Aleksei Oleinik,fighter1
2020-08-08,Middleweight,Chris Weidman,Omari Akhmedov,fighter1
2020-08-08,Middleweight,Darren Stewart,Maki Pitolo,fighter1
2020-08-08,Women's Bantamweight,Yana Santos,Julija Stoliarenko,fighter1
2020-08-08,Lightweight,Beneil Dariush,Scott Holtzman,fighter1
2020-08-08,Welterweight,Tim Means,Laureano Staropoli,fighter1
2020-08-08,Middleweight,Kevin Holland,Joaquin Buckley,fighter1
2020-08-08,Lightweight,Nasrat Haqparast,Alexander Munoz,fighter1
2020-08-08,Middleweight,Andrew Sanchez,Wellington Turman,fighter1
2020-08-08,Featherweight,Gavin Tucker,Justin Jaynes,fighter1
2020-08-08,Featherweight,Youssef Zalal,Peter Barrett,fighter1
2020-08-08,Bantamweight,Irwin Rivera,Ali AlQaisi,fighter1
2020-08-01,Middleweight,Derek Brunson,Edmen Shahbazyan,fighter1
2020-08-01,Women's Flyweight,Jennifer Maia,Joanne Wood,fighter1
2020-08-01,Welterweight,Vicente Luque,Randy Brown,fighter1
2020-08-01,Lightweight,Bobby Green,Lando Vannata,fighter1
2020-08-01,Bantamweight,Jonathan Martinez,Frankie Saenz,fighter1
2020-08-01,Featherweight,Nate Maness,Johnny Munoz,fighter1
2020-08-01,Featherweight,Jamall Emmers,Vince Cachero,fighter1
2020-08-01,Bantamweight,Chris Gutierrez,Cody Durden,Draw
2020-07-25,Middleweight,Robert Whittaker,Darren Till,fighter1
2020-07-25,Light Heavyweight,Mauricio Rua,Rogerio Nogueira,fighter1
2020-07-25,Heavyweight,Fabricio Werdum,Alexander Gustafsson,fighter1
2020-07-25,Women's Strawweight,Carla Esparza,Marina Rodriguez,fighter1
2020-07-25,Light Heavyweight,Paul Craig,Gadzhimurad Antigulov,fighter1
2020-07-25,Welterweight,Alex Oliveira,Peter Sobotta,fighter1
2020-07-25,Welterweight,Khamzat Chimaev,Rhys McKee,fighter1
2020-07-25,Lightweight,Francisco Trinaldo,Jai Herbert,fighter1
2020-07-25,Welterweight,Nicolas Dalby,Jesse Ronson,No contest
2020-07-25,Heavyweight,Tom Aspinall,Jake Collier,fighter1
2020-07-25,Featherweight,Movsar Evloev,Mike Grundy,fighter1
2020-07-25,Heavyweight,Tanner Boser,Raphael Pessoa,fighter1
2020-07-25,Women's Bantamweight,Pannie Kianzad,Bethe Correia,fighter1
2020-07-25,Welterweight,Ramazan Emeev,Niklas Stolze,fighter1
2020-07-25,Bantamweight,Nathaniel Wood,John Castaneda,fighter1
2020-07-18,Flyweight,Deiveson Figueiredo,Joseph Benavidez,fighter1
2020-07-18,Middleweight,Jack Hermansson,Kelvin Gastelum,fighter1
2020-07-18,Lightweight,Rafael Fiziev,Marc Diakiese,fighter1
2020-07-18,Women's Flyweight,Ariane Lipski,Luana Carolina,fighter1
2020-07-18,Flyweight,Askar Askarov,Alexandre Pantoja,fighter1
2020-07-18,Light Heavyweight,Roman Dolidze,Khadis Ibragimov,fighter1
2020-07-18,Catch Weight,Grant Dawson,Nad Narimani,fighter1
2020-07-18,Lightweight,Joel Alvarez,Joe Duffy,fighter1
2020-07-18,Bantamweight,Brett Johns,Montel Jackson,fighter1
2020-07-18,Bantamweight,Amir Albazi,Malcolm Gordon,fighter1
2020-07-18,Lightweight,Arman Tsarukyan,Davi Ramos,fighter1
2020-07-18,Heavyweight,Serghei Spivac,Carlos Felipe,fighter1
2020-07-15,Featherweight,Calvin Kattar,Dan Ige,fighter1
2020-07-15,Flyweight,Tim Elliott,Ryan Benoit,fighter1
2020-07-15,Featherweight,Jimmie Rivera,Cody Stamann,fighter1
2020-07-15,Women's Flyweight,Taila Santos,Molly McCann,fighter1
2020-07-15,Welterweight,Mounir Lazzez,Abdul Razak Alhassan,fighter1
2020-07-15,Middleweight,Khamzat Chimaev,John Phillips,fighter1
2020-07-15,Featherweight,Lerone Murphy,Ricardo Ramos,fighter1
2020-07-15,Light Heavyweight,Modestas Bukauskas,Andreas Michailidis,fighter1
2020-07-15,Featherweight,Jared Gordon,Chris Fishgold,fighter1
2020-07-15,Women's Flyweight,Liana Jojua,Diana Belbita,fighter1
2020-07-15,Bantamweight,Jack Shore,Aaron Phillips,fighter1
2020-07-11,Welterweight,Kamaru Usman,Jorge Masvidal,fighter1
2020-07-11,Featherweight,Alexander Volkanovski,Max Holloway,fighter1
2020-07-11,Bantamweight,Petr Yan,Jose Aldo,fighter1
2020-07-11,Women's Strawweight,Rose Namajunas,Jessica Andrade,fighter1
2020-07-11,Women's Flyweight,Amanda Ribas,Paige VanZant,fighter1
2020-07-11,Light Heavyweight,Jiri Prochazka,Volkan Oezdemir,fighter1
2020-07-11,Welterweight,Muslim Salikhov,Elizeu Zaleski dos Santos,fighter1
2020-07-11,Featherweight,Makwan Amirkhani,Danny Henry,fighter1
2020-07-11,Lightweight,Leonardo Santos,Roman Bogatov,fighter1
2020-07-11,Heavyweight,Marcin Tybura,Maxim Grishin,fighter1
2020-07-11,Flyweight,Raulian Paiva,Zhalgas Zhumagulov,fighter1
2020-07-11,Women's Bantamweight,Karol Rosa,Vanessa Melo,fighter1
2020-07-11,Bantamweight,Davey Grant,Martin Day,fighter1
2020-06-27,Lightweight,Dustin Poirier,Dan Hooker,fighter1
2020-06-27,Welterweight,Mike Perry,Mickey Gall,fighter1
2020-06-27,Heavyweight,Maurice Greene,Gian Villante,fighter1
2020-06-27,Middleweight,Brendan Allen,Kyle Daukaus,fighter1
2020-06-27,Welterweight,Takashi Sato,Jason Witt,fighter1
2020-06-27,Catch Weight,Julian Erosa,Sean Woodson,fighter1
2020-06-27,Lightweight,Khama Worthy,Luis Pena,fighter1
2020-06-27,Heavyweight,Tanner Boser,Philipe Lins,fighter1
2020-06-27,Women's Strawweight,Kay Hansen,Jinh Yu Frey,fighter1
2020-06-27,Featherweight,Youssef Zalal,Jordan Griffin,fighter1
2020-06-20,Heavyweight,Curtis Blaydes,Alexander Volkov,fighter1
2020-06-20,Featherweight,Josh Emmett,Shane Burgos,fighter1
2020-06-20,Women's Bantamweight,Raquel Pennington,Marion Reneau,fighter1
2020-06-20,Welterweight,Belal Muhammad,Lyman Good,fighter1
2020-06-20,Catch Weight,Jim Miller,Roosevelt Roberts,fighter1
2020-06-20,Lightweight,Bobby Green,Clay Guida,fighter1
2020-06-20,Women's Strawweight,Tecia Torres,Brianna Fortino,fighter1
2020-06-20,Middleweight,Marc-Andre Barriault,Oskar Piechota,No contest
2020-06-20,Women's Flyweight,Gillian Robertson,Cortney Casey,fighter1
2020-06-20,Lightweight,Justin Jaynes,Frank Camacho,fighter1
2020-06-20,Women's Flyweight,Lauren Murphy,Roxanne Modafferi,fighter1
2020-06-20,Lightweight,Austin Hubbard,Max Rohskopf,fighter1
2020-06-13,Women's Flyweight,Cynthia Calvillo,Jessica Eye,fighter1
2020-06-13,Middleweight,Marvin Vettori,Karl Roberson,fighter1
2020-06-13,Lightweight,Charles Rosa,Kevin Aguilar,fighter1
2020-06-13,Featherweight,Andre Fili,Charles Jourdain,fighter1
2020-06-13,Bantamweight,Jordan Espinosa,Mark De La Rosa,fighter1
2020-06-13,Women's Flyweight,Mariya Agapova,Hannah Cifers,fighter1
2020-06-13,Catch Weight,Merab Dvalishvili,Gustavo Lopez,fighter1
2020-06-13,Women's Bantamweight,Julia Avila,Gina Mazany,fighter1
2020-06-13,Bantamweight,Tyson Nam,Zarrukh Adashev,fighter1
2020-06-13,Welterweight,Christian Aguilera,Anthony Ivy,fighter1
2020-06-06,Women's Featherweight,Amanda Nunes,Felicia Spencer,fighter1
2020-06-06,Bantamweight,Cody Garbrandt,Raphael Assuncao,fighter1
2020-06-06,Bantamweight,Aljamain Sterling,Cory Sandhagen,fighter1
2020-06-06,Welterweight,Neil Magny,Anthony Rocco Martin,fighter1
2020-06-06,Bantamweight,Sean O'Malley,Eddie Wineland,fighter1
2020-06-06,Featherweight,Alex Caceres,Chase Hooper,fighter1
2020-06-06,Middleweight,Ian Heinisch,Gerald Meerschaert,fighter1
2020-06-06,Featherweight,Cody Stamann,Brian Kelleher,fighter1
2020-06-06,Middleweight,Maki Pitolo,Charles Byrd,fighter1
2020-06-06,Flyweight,Alex Perez,Jussier Formiga,fighter1
2020-06-06,Light Heavyweight,Devin Clark,Alonzo Menifield,fighter1
2020-06-06,Catch Weight,Herbert Burns,Evan Dunham,fighter1
2020-05-30,Welterweight,Gilbert Burns,Tyron Woodley,fighter1
2020-05-30,Heavyweight,Augusto Sakai,Blagoy Ivanov,fighter1
2020-05-30,Catch Weight,Billy Quarantillo,Spike Carlyle,fighter1
2020-05-30,Lightweight,Roosevelt Roberts,Brok Weaver,fighter1
2020-05-30,Women's Strawweight,Mackenzie Dern,Hannah Cifers,fighter1
2020-05-30,Women's Flyweight,Katlyn Chookagian,Antonina Shevchenko,fighter1
2020-05-30,Welterweight,Daniel Rodriguez,Gabe Green,fighter1
2020-05-30,Light Heavyweight,Jamahal Hill,Klidson Abreu,No contest
2020-05-30,Flyweight,Brandon Royval,Tim Elliott,fighter1
2020-05-30,Bantamweight,Casey Kenney,Louis Smolka,fighter1
2020-05-30,Featherweight,Chris Gutierrez,Vince Morales,fighter1
2020-05-16,Heavyweight,Alistair Overeem,Walt Harris,fighter1
2020-05-16,Women's Strawweight,Claudia Gadelha,Angela Hill,fighter1
2020-05-16,Featherweight,Dan Ige,Edson Barboza,fighter1
2020-05-16,Middleweight,Krzysztof Jotko,Eryk Anders,fighter1
2020-05-16,Featherweight,Song Yadong,Marlon Vera,fighter1
2020-05-16,Welterweight,Miguel Baeza,Matt Brown,fighter1
2020-05-16,Middleweight,Kevin Holland,Anthony Hernandez,fighter1
2020-05-16,Featherweight,Giga Chikadze,Irwin Rivera,fighter1
2020-05-16,Featherweight,Nate Landwehr,Darren Elkins,fighter1
2020-05-16,Women's Flyweight,Cortney Casey,Mara Romero Borella,fighter1
2020-05-16,Heavyweight,Rodrigo Nascimento,Don'Tale Mayes,fighter1
2020-05-13,Light Heavyweight,Glover Teixeira,Anthony Smith,fighter1
