event_date,weight_class,fighter1,fighter2,outcome
2023-07-29,Light Heavyweight,Alex Pereira,Jan Blachowicz,fighter1
2023-07-29,Heavyweight,Derrick Lewis,Marcos Rogerio de Lima,fighter1
2023-07-29,Lightweight,Bobby Green,Tony Ferguson,fighter1
2023-07-29,Welterweight,Kevin Holland,Michael Chiesa,fighter1
2023-07-29,Welterweight,Gabriel Bonfim,Trevin Giles,fighter1
2023-07-29,Flyweight,CJ Vergara,Vinicius Salvador,fighter1
2023-07-29,Middleweight,Roman Kopylov,Claudio Ribeiro,fighter1
2023-07-29,Welterweight,Jake Matthews,Darrius Flowers,fighter1
2023-07-29,Welterweight,Uros Medic,Matthew Semelsberger,fighter1
2023-07-29,Women's Flyweight,Miranda Maverick,Priscila Cachoeira,fighter1
2023-07-22,Heavyweight,Tom Aspinall,Marcin Tybura,fighter1
2023-07-22,Women's Flyweight,Julija Stoliarenko,Molly McCann,fighter1
2023-07-22,Featherweight,Nathaniel Wood,Andre Fili,fighter1
2023-07-22,Middleweight,Paul Craig,Andre Muniz,fighter1
2023-07-22,Lightweight,Fares Ziam,Jai Herbert,fighter1
2023-07-22,Featherweight,Lerone Murphy,Josh Culibao,fighter1
2023-07-22,Bantamweight,Daniel Marcos,Davey Grant,fighter1
2023-07-22,Welterweight,Jonny Parsons,Danny Roberts,fighter1
2023-07-22,Lightweight,Joel Alvarez,Marc Diakiese,fighter1
2023-07-22,Heavyweight,Mick Parkin,Jamal Pogues,fighter1
2023-07-22,Middleweight,Makhmud Muradov,Bryan Barberena,fighter1
2023-07-22,Women's Bantamweight,Ketlen Vieira,Pannie Kianzad,fighter1
2023-07-22,Lightweight,Chris Duncan,Yanal Ashmouz,fighter1
2023-07-22,Women's Strawweight,Bruna Brasil,Shauna Bannon,fighter1
2023-07-22,Flyweight,Jafel Filho,Daniel Barez,fighter1
2023-07-15,Women's Bantamweight,Mayra Bueno Silva,Holly Holm,fighter1
2023-07-15,Welterweight,Jack Della Maddalena,Bassil Hafez,fighter1
2023-07-15,Lightweight,Francisco Prado,Ottman Azaitar,fighter1
2023-07-15,Middleweight,JunYong Park,Albert Duraev,fighter1
2023-07-15,Women's Featherweight,Norma Dumont,Chelsea Chandler,fighter1
2023-07-15,Lightweight,Nazim Sadykhov,Terrance McKinney,fighter1
2023-07-15,Featherweight,Melsik Baghdasaryan,Tucker Lutz,fighter1
2023-07-15,Women's Strawweight,Viktoriia Dudakova,Istela Nunes,fighter1
