,event_date,event_name,weight_class,fighter1,fighter2,favourite,underdog,favourite_odds,underdog_odds,outcome,method,round,fighter1_height,fighter1_curr_weight,fighter1_dob,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter2_height,fighter2_curr_weight,fighter2_dob,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,events_extract_ts,odds_extract_ts,fighter_extract_ts
10,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Strawweight,Josefine Knutsson,Marnic Mann,Josefine Knutsson,Marnic Mann,1.14,6.0,fighter1,U-DEC,3,160.02,52.16308,1996-01-16,152.4,Orthodox,3.73,0.52,1.33,0.64,2.67,0.72,1.0,0.0,152.4,52.16308,1993-03-05,162.56,Southpaw,1.1,0.42,4.93,0.31,1.83,0.3,0.16,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
11,2023-09-09,UFC 293: Adesanya vs. Strickland,Middleweight,Sean Strickland,Israel Adesanya,Israel Adesanya,Sean Strickland,1.22,5.8,fighter1,U-DEC,5,185.42000000000002,83.91452,1991-02-27,193.04,Orthodox,5.82,0.41,4.24,0.63,0.92,0.64,0.84,0.2,193.04,83.91452,1989-07-22,203.2,Switch,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
12,2023-09-09,UFC 293: Adesanya vs. Strickland,Heavyweight,Alexander Volkov,Tai Tuivasa,Alexander Volkov,Tai Tuivasa,1.41,3.05,fighter1,SUB              Ezekiel Choke,2,200.66,113.398,1988-10-24,203.2,Orthodox,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,187.96,119.748288,1993-03-16,190.5,Southpaw,3.98,0.49,4.98,0.43,0.0,0.0,0.54,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
13,2023-09-09,UFC 293: Adesanya vs. Strickland,Flyweight,Manel Kape,Felipe dos Santos,,,,,fighter1,U-DEC,3,165.1,56.699,1993-11-14,172.72,Southpaw,5.12,0.54,4.51,0.59,0.65,0.37,0.77,0.4,170.18,56.699,2000-09-11,177.8,Orthodox,6.6,0.32,7.47,0.38,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
14,2023-09-09,UFC 293: Adesanya vs. Strickland,Heavyweight,Justin Tafa,Austen Lane,Justin Tafa,Austen Lane,1.48,2.9,fighter1,KO/TKO              Punch,1,182.88,119.748288,1993-12-13,187.96,Southpaw,5.13,0.55,5.93,0.49,0.0,0.0,1.0,0.0,198.12,111.13004,1987-11-09,203.2,Orthodox,4.48,0.47,2.85,0.48,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
15,2023-09-09,UFC 293: Adesanya vs. Strickland,Light Heavyweight,Tyson Pedro,Anton Turkalj,Anton Turkalj,Tyson Pedro,1.95,2.0,fighter1,KO/TKO              Punch,1,190.5,92.98636,1991-09-17,200.66,Orthodox,3.11,0.61,2.53,0.54,0.94,0.36,0.52,0.9,193.04,92.98636,1996-06-10,198.12,Orthodox,1.72,0.53,2.48,0.49,6.55,0.51,0.16,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
16,2023-09-09,UFC 293: Adesanya vs. Strickland,Light Heavyweight,Carlos Ulberg,Da Woon Jung,,,,,fighter1,SUB              Rear Naked Choke,3,193.04,92.98636,1990-11-07,195.58,Orthodox,7.29,0.59,3.59,0.52,0.95,0.75,0.75,0.3,193.04,92.98636,1993-12-07,198.12,Orthodox,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
17,2023-09-09,UFC 293: Adesanya vs. Strickland,Featherweight,Chepe Mariscal,Jack Jenkins,,,,,fighter1,KO/TKO,2,170.18,65.77083999999999,1992-10-27,175.26,Orthodox,4.67,0.53,3.95,0.52,3.22,0.38,1.0,0.6,170.18,65.77083999999999,1993-11-03,172.72,Switch,4.43,0.61,3.07,0.59,2.56,0.69,0.75,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
18,2023-09-09,UFC 293: Adesanya vs. Strickland,Lightweight,Jamie Mullarkey,John Makdessi,Jamie Mullarkey,John Makdessi,1.4,3.15,fighter1,U-DEC,3,182.88,70.30676,1994-08-17,187.96,Orthodox,4.46,0.47,4.41,0.54,2.46,0.34,0.76,0.1,172.72,70.30676,1985-05-03,172.72,Orthodox,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
19,2023-09-09,UFC 293: Adesanya vs. Strickland,Lightweight,Nasrat Haqparast,Landon Quinones,,,,,fighter1,U-DEC,3,177.8,70.30676,1995-08-22,182.88,Southpaw,5.73,0.44,5.26,0.64,0.32,0.2,0.78,0.0,175.26,70.30676,1995-11-21,177.8,Southpaw,9.87,0.41,11.4,0.54,0.0,0.0,1.0,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
